phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,0,3,10,1.0,-14.36288661956787,0.0,0.0,-14.397102117538452,0.034215532755479214,0.0,0.0,25.849781227111816,
warmup_kf,1,3,10,1.0,-14.487427043914796,0.0,0.0,-14.437877941131593,-0.049549113027751446,0.0,0.0,25.919060707092285,
warmup_kf,2,3,10,1.0,-14.612282848358154,0.0,0.0,-14.478344202041626,-0.13393874578177928,0.0,0.0,25.98809595108032,
warmup_kf,3,3,10,1.0,-14.744523572921754,0.0,0.0,-14.518491649627686,-0.22603195682168006,0.0,0.0,26.056847381591798,
warmup_kf,4,3,10,1.0,-14.890359020233154,0.0,0.0,-14.558334684371948,-0.3320243000984192,0.0,0.0,26.12534065246582,
warmup_kf,5,3,10,1.0,-15.055288505554199,0.0,0.0,-14.597879219055176,-0.45740930587053297,0.0,0.0,26.19358777999878,
warmup_kf,6,3,10,1.0,-15.2466224193573,0.0,0.0,-14.637127542495728,-0.6094949632883072,0.0,0.0,26.261596488952637,
warmup_kf,7,3,10,1.0,-15.469774055480958,0.0,0.0,-14.676079177856446,-0.7936948418617249,0.0,0.0,26.32936668395996,
warmup_kf,8,3,10,1.0,-15.732117700576783,0.0,0.0,-14.714733457565307,-1.01738443672657,0.0,0.0,26.396899509429932,
warmup_kf,9,3,10,1.0,-16.039057207107543,0.0,0.0,-14.753087902069092,-1.2859692811965941,0.0,0.0,26.46419095993042,
warmup_kf,10,3,10,1.0,-16.394800996780397,0.0,0.0,-14.791138744354248,-1.6036622822284698,0.0,0.0,26.53123664855957,
warmup_kf,11,3,10,1.0,-16.804192113876343,0.0,0.0,-14.828884935379028,-1.9753070652484894,0.0,0.0,26.598034572601318,
warmup_kf,12,3,10,1.0,-17.273950386047364,0.0,0.0,-14.866322708129882,-2.4076274752616884,0.0,0.0,26.66458053588867,
warmup_kf,13,3,10,1.0,-17.81006669998169,0.0,0.0,-14.903449487686157,-2.90661700963974,0.0,0.0,26.730868434906007,
warmup_kf,14,3,10,1.0,-18.41716060638428,0.0,0.0,-14.940261840820312,-3.4768988609313967,0.0,0.0,26.7968957901001,
warmup_kf,15,3,10,1.0,-19.09990301132202,0.0,0.0,-14.976755952835083,-4.123147106170654,0.0,0.0,26.86265449523926,
warmup_kf,16,3,10,1.0,-19.863136196136473,0.0,0.0,-15.012929916381836,-4.850206303596496,0.0,0.0,26.928141593933105,
warmup_kf,17,3,10,1.0,-20.710600185394288,0.0,0.0,-15.048779344558715,-5.661820793151856,0.0,0.0,26.99334831237793,
warmup_kf,18,3,10,1.0,-21.645669174194335,0.0,0.0,-15.084303092956542,-6.561366271972656,0.0,0.0,27.05827388763428,
warmup_kf,19,3,10,1.0,-22.67131109237671,0.0,0.0,-15.119496250152588,-7.5518146276474,0.0,0.0,27.12290668487549,
warmup_kf,20,3,10,1.0,-23.779715824127198,0.0,0.0,-15.154357051849365,-8.625358533859252,0.0,0.0,27.187244415283203,
warmup_kf,21,3,10,1.0,-24.902999591827392,0.0,0.0,-15.188882112503052,-9.714117336273194,0.0,0.0,27.251282119750975,
warmup_kf,22,3,10,1.0,-25.96920328140259,0.0,0.0,-15.223069667816162,-10.746133518218993,0.0,0.0,27.315010833740235,
warmup_kf,23,3,10,1.0,-26.93363447189331,0.0,0.0,-15.25691590309143,-11.676718711853027,0.0,0.0,27.37842540740967,
warmup_kf,24,3,10,1.0,-27.777816200256346,0.0,0.0,-15.290418863296509,-12.487397384643554,0.0,0.0,27.441520977020264,
warmup_kf,25,3,10,1.0,-28.5065637588501,0.0,0.0,-15.323576354980469,-13.182987308502197,0.0,0.0,27.504290676116945,
warmup_kf,26,3,10,1.0,-29.137846279144288,0.0,0.0,-15.356386089324952,-13.781460332870484,0.0,0.0,27.56672611236572,
warmup_kf,27,3,10,1.0,-29.691229343414307,0.0,0.0,-15.388845062255859,-14.302384281158448,0.0,0.0,27.628822994232177,
warmup_kf,28,3,10,1.0,-30.180641174316406,0.0,0.0,-15.420952415466308,-14.759688568115234,0.0,0.0,27.69057455062866,
warmup_kf,29,3,10,1.0,-30.61625270843506,0.0,0.0,-15.452705001831054,-15.163547706604003,0.0,0.0,27.75197563171387,
warmup_kf,30,3,10,1.0,-31.005566692352296,0.0,0.0,-15.484102201461791,-15.521464443206787,0.0,0.0,27.81301803588867,
warmup_kf,31,3,10,1.0,-31.35308313369751,0.0,0.0,-15.51514196395874,-15.837940883636474,0.0,0.0,27.873695278167723,
warmup_kf,32,3,10,1.0,-31.66593656539917,0.0,0.0,-15.545823097229004,-16.120113468170167,0.0,0.0,27.934000778198243,
warmup_kf,33,3,10,1.0,-31.952171993255615,0.0,0.0,-15.576143836975097,-16.37602825164795,0.0,0.0,27.993929958343507,
warmup_kf,34,3,10,1.0,-32.21581478118897,0.0,0.0,-15.606103563308716,-16.609711265563966,0.0,0.0,28.05347423553467,
warmup_kf,35,3,10,1.0,-32.4594895362854,0.0,0.0,-15.635700130462647,-16.82378911972046,0.0,0.0,28.112628173828124,
warmup_kf,36,3,10,1.0,-32.68588829040527,0.0,0.0,-15.664933681488037,-17.020954513549803,0.0,0.0,28.171387195587158,
warmup_kf,37,3,10,1.0,-32.896621799468996,0.0,0.0,-15.693802785873412,-17.202818965911867,0.0,0.0,28.229738235473633,
warmup_kf,38,3,10,1.0,-33.093206787109374,0.0,0.0,-15.722308540344239,-17.3708984375,0.0,0.0,28.287681770324706,
warmup_kf,39,3,10,1.0,-33.27711734771729,0.0,0.0,-15.750448989868165,-17.526668643951417,0.0,0.0,28.345209980010985,
warmup_kf,40,3,10,1.0,-33.44951286315918,0.0,0.0,-15.77822470664978,-17.671288299560548,0.0,0.0,28.402315425872803,
warmup_kf,41,3,10,1.0,-33.61148204803467,0.0,0.0,-15.80563588142395,-17.805846691131592,0.0,0.0,28.45899143218994,
warmup_kf,42,3,10,1.0,-33.76394119262695,0.0,0.0,-15.832681798934937,-17.931259441375733,0.0,0.0,28.515234088897706,
warmup_kf,43,3,10,1.0,-33.907696914672854,0.0,0.0,-15.859364986419678,-18.048331832885744,0.0,0.0,28.571037101745606,
warmup_kf,44,3,10,1.0,-34.043484115600585,0.0,0.0,-15.8856831073761,-18.157800960540772,0.0,0.0,28.62639389038086,
warmup_kf,45,3,10,1.0,-34.17193546295166,0.0,0.0,-15.911638450622558,-18.26029691696167,0.0,0.0,28.681297874450685,
warmup_kf,46,3,10,1.0,-34.293623542785646,0.0,0.0,-15.93723168373108,-18.356391620635986,0.0,0.0,28.735744953155518,
warmup_kf,47,3,10,1.0,-34.40904941558838,0.0,0.0,-15.96246428489685,-18.44658546447754,0.0,0.0,28.78972997665405,
warmup_kf,48,3,10,1.0,-34.518674278259276,0.0,0.0,-15.987336683273316,-18.531337642669676,0.0,0.0,28.843245220184325,
warmup_kf,49,3,10,1.0,-34.62290954589844,0.0,0.0,-16.011851119995118,-18.611058044433594,0.0,0.0,28.89629011154175,
warmup_kf,50,3,10,1.0,-34.72213191986084,0.0,0.0,-16.03601050376892,-18.686120891571044,0.0,0.0,28.9488582611084,
warmup_kf,51,3,10,1.0,-34.81667709350586,0.0,0.0,-16.059813737869263,-18.756863498687743,0.0,0.0,29.000944328308105,
warmup_kf,52,3,10,1.0,-34.906853675842285,0.0,0.0,-16.08326373100281,-18.823589992523193,0.0,0.0,29.052542877197265,
warmup_kf,53,3,10,1.0,-34.992949867248534,0.0,0.0,-16.10636386871338,-18.88658618927002,0.0,0.0,29.103652477264404,
warmup_kf,54,3,10,1.0,-35.0752254486084,0.0,0.0,-16.129115200042726,-18.946110725402832,0.0,0.0,29.154269695281982,
warmup_kf,55,3,10,1.0,-35.15391826629639,0.0,0.0,-16.151520252227783,-19.002398204803466,0.0,0.0,29.204387283325197,
warmup_kf,56,3,10,1.0,-35.22924880981445,0.0,0.0,-16.173581457138063,-19.055667114257812,0.0,0.0,29.254005432128906,
warmup_kf,57,3,10,1.0,-35.30142250061035,0.0,0.0,-16.195301294326782,-19.10612096786499,0.0,0.0,29.30311870574951,
warmup_kf,58,3,10,1.0,-35.37062854766846,0.0,0.0,-16.216683387756348,-19.15394515991211,0.0,0.0,29.351727294921876,
warmup_kf,59,3,10,1.0,-35.437040138244626,0.0,0.0,-16.237729835510255,-19.199310493469238,0.0,0.0,29.399827480316162,
warmup_kf,60,3,10,1.0,-35.50082893371582,0.0,0.0,-16.25844449996948,-19.24238395690918,0.0,0.0,29.447418308258058,
warmup_kf,61,3,10,1.0,-35.562131309509276,0.0,0.0,-16.278829288482665,-19.283302307128906,0.0,0.0,29.49449405670166,
warmup_kf,62,3,10,1.0,-35.6211030960083,0.0,0.0,-16.29888653755188,-19.322216701507568,0.0,0.0,29.541052627563477,
warmup_kf,63,3,10,1.0,-35.67786979675293,0.0,0.0,-16.31862120628357,-19.35924835205078,0.0,0.0,29.587098789215087,
warmup_kf,64,3,10,1.0,-35.73255310058594,0.0,0.0,-16.338036870956422,-19.394515705108642,0.0,0.0,29.632626724243163,
warmup_kf,65,3,10,1.0,-35.78527698516846,0.0,0.0,-16.357135152816774,-19.428141784667968,0.0,0.0,29.677636432647706,
warmup_kf,66,3,10,1.0,-35.83614253997803,0.0,0.0,-16.375920867919923,-19.46022186279297,0.0,0.0,29.722129821777344,
warmup_kf,67,3,10,1.0,-35.88525218963623,0.0,0.0,-16.394397163391112,-19.490854930877685,0.0,0.0,29.76610517501831,
warmup_kf,68,3,10,1.0,-35.93270492553711,0.0,0.0,-16.412567806243896,-19.520137882232667,0.0,0.0,29.809564685821535,
warmup_kf,69,3,10,1.0,-35.97859115600586,0.0,0.0,-16.4304358959198,-19.54815492630005,0.0,0.0,29.85250654220581,
warmup_kf,70,3,10,1.0,-36.02299060821533,0.0,0.0,-16.44800672531128,-19.574983882904053,0.0,0.0,29.894934368133544,
warmup_kf,71,3,10,1.0,-36.06598606109619,0.0,0.0,-16.465282011032105,-19.600704288482667,0.0,0.0,29.936846923828124,
warmup_kf,72,3,10,1.0,-36.107649421691896,0.0,0.0,-16.482265281677247,-19.625384521484374,0.0,0.0,29.97824630737305,
warmup_kf,73,3,10,1.0,-36.148054695129396,0.0,0.0,-16.498961687088013,-19.649093437194825,0.0,0.0,30.01913194656372,
warmup_kf,74,3,10,1.0,-36.18726825714111,0.0,0.0,-16.5153742313385,-19.671893692016603,0.0,0.0,30.059508419036867,
warmup_kf,75,3,10,1.0,-36.22535095214844,0.0,0.0,-16.53150644302368,-19.693844985961913,0.0,0.0,30.09937686920166,
warmup_kf,76,3,10,1.0,-36.262357521057126,0.0,0.0,-16.547361373901367,-19.714996528625488,0.0,0.0,30.13874053955078,
warmup_kf,77,3,10,1.0,-36.29835548400879,0.0,0.0,-16.56294345855713,-19.7354115486145,0.0,0.0,30.177598571777345,
warmup_kf,78,3,10,1.0,-36.33337955474853,0.0,0.0,-16.57825665473938,-19.755123233795167,0.0,0.0,30.215957260131837,
warmup_kf,79,3,10,1.0,-36.367503547668456,0.0,0.0,-16.593304777145384,-19.774199295043946,0.0,0.0,30.2538200378418,
warmup_kf,80,3,10,1.0,-36.40075416564942,0.0,0.0,-16.6080913066864,-19.792662715911867,0.0,0.0,30.291186332702637,
warmup_kf,81,3,10,1.0,-36.43318691253662,0.0,0.0,-16.62261815071106,-19.810569095611573,0.0,0.0,30.32806396484375,
warmup_kf,82,3,10,1.0,-36.46484107971192,0.0,0.0,-16.636891746520995,-19.82794952392578,0.0,0.0,30.364453506469726,
warmup_kf,83,3,10,1.0,-36.49575634002686,0.0,0.0,-16.65091471672058,-19.844841766357423,0.0,0.0,30.400359439849854,
warmup_kf,84,3,10,1.0,-36.52596664428711,0.0,0.0,-16.664689826965333,-19.861276626586914,0.0,0.0,30.435785388946535,
warmup_kf,85,3,10,1.0,-36.555515670776366,0.0,0.0,-16.67822136878967,-19.87729434967041,0.0,0.0,30.47073631286621,
warmup_kf,86,3,10,1.0,-36.58442916870117,0.0,0.0,-16.691511726379396,-19.892917919158936,0.0,0.0,30.50521535873413,
warmup_kf,87,3,10,1.0,-36.61274337768555,0.0,0.0,-16.70456600189209,-19.908177185058594,0.0,0.0,30.539226150512697,
warmup_kf,88,3,10,1.0,-36.640494918823244,0.0,0.0,-16.71738729476929,-19.923107433319093,0.0,0.0,30.5727746963501,
warmup_kf,89,3,10,1.0,-36.66769542694092,0.0,0.0,-16.72997827529907,-19.937717247009278,0.0,0.0,30.605865955352783,
warmup_kf,90,3,10,1.0,-36.694394493103026,0.0,0.0,-16.74234266281128,-19.952051639556885,0.0,0.0,30.6385027885437,
warmup_kf,91,3,10,1.0,-36.72059211730957,0.0,0.0,-16.754484605789184,-19.966107845306396,0.0,0.0,30.670690536499023,
warmup_kf,92,3,10,1.0,-36.746338272094725,0.0,0.0,-16.7664071559906,-19.979931163787843,0.0,0.0,30.702433395385743,
warmup_kf,93,3,10,1.0,-36.771632766723634,0.0,0.0,-16.778113555908202,-19.993518924713136,0.0,0.0,30.733737564086915,
warmup_kf,94,3,10,1.0,-36.79651699066162,0.0,0.0,-16.789606666564943,-20.00691032409668,0.0,0.0,30.764608287811278,
warmup_kf,95,3,10,1.0,-36.82100601196289,0.0,0.0,-16.800889635086058,-20.020116519927978,0.0,0.0,30.79504566192627,
warmup_kf,96,3,10,1.0,-36.845116233825685,0.0,0.0,-16.811966371536254,-20.033149814605714,0.0,0.0,30.82506036758423,
warmup_kf,97,3,10,1.0,-36.868866729736325,0.0,0.0,-16.82283935546875,-20.04602746963501,0.0,0.0,30.85465259552002,
warmup_kf,98,3,10,1.0,-36.892283248901364,0.0,0.0,-16.833513498306274,-20.058769512176514,0.0,0.0,30.883830547332764,
warmup_kf,99,3,10,1.0,-36.915365028381345,0.0,0.0,-16.843990564346313,-20.071374320983885,0.0,0.0,30.912600421905516,
