q=2.2e-04, r=1.5e-04, meanNIS=5.02, inside=0.85, above=0.07, below=0.08, score=0.52, mean whitened innovation=-0.0016, std whitened innovation=1.0022
q=6.1e-04, r=2.5e-06, meanNIS=5.00, inside=0.84, above=0.08, below=0.08, score=0.55, mean whitened innovation=-0.0008, std whitened innovation=1.0000
q=5.6e-04, r=2.2e-05, meanNIS=4.99, inside=0.84, above=0.08, below=0.08, score=0.55, mean whitened innovation=-0.0009, std whitened innovation=0.9995
q=6.1e-04, r=2.3e-06, meanNIS=5.01, inside=0.84, above=0.08, below=0.08, score=0.55, mean whitened innovation=-0.0008, std whitened innovation=1.0005
q=6.1e-04, r=2.8e-06, meanNIS=4.99, inside=0.84, above=0.08, below=0.08, score=0.55, mean whitened innovation=-0.0008, std whitened innovation=0.9994
q=6.1e-04, r=2.1e-06, meanNIS=5.01, inside=0.84, above=0.08, below=0.08, score=0.56, mean whitened innovation=-0.0008, std whitened innovation=1.0010
q=6.1e-04, r=3.1e-06, meanNIS=4.99, inside=0.84, above=0.08, below=0.08, score=0.56, mean whitened innovation=-0.0008, std whitened innovation=0.9988
q=6.1e-04, r=1.9e-06, meanNIS=5.01, inside=0.84, above=0.08, below=0.08, score=0.56, mean whitened innovation=-0.0008, std whitened innovation=1.0014
q=7.7e-06, r=2.9e-04, meanNIS=5.00, inside=0.84, above=0.07, below=0.10, score=0.57, mean whitened innovation=-0.0037, std whitened innovation=1.0002
q=6.1e-04, r=1.7e-06, meanNIS=5.02, inside=0.84, above=0.08, below=0.08, score=0.57, mean whitened innovation=-0.0008, std whitened innovation=1.0018
q=8.5e-06, r=2.9e-04, meanNIS=4.98, inside=0.84, above=0.06, below=0.10, score=0.57, mean whitened innovation=-0.0036, std whitened innovation=0.9981
q=6.1e-04, r=3.4e-06, meanNIS=4.98, inside=0.84, above=0.08, below=0.08, score=0.57, mean whitened innovation=-0.0008, std whitened innovation=0.9981
q=7.1e-06, r=2.9e-04, meanNIS=5.02, inside=0.84, above=0.07, below=0.09, score=0.57, mean whitened innovation=-0.0038, std whitened innovation=1.0021
q=6.1e-04, r=1.6e-06, meanNIS=5.02, inside=0.84, above=0.08, below=0.08, score=0.57, mean whitened innovation=-0.0008, std whitened innovation=1.0022
