phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
train,0,0,1,0.001,-241.85584962134268,-228.41314128800934,0.0,-13.442709474002614,0.0,0.0,0.0,116.22675637637867,
train,1,0,1,0.001,-256.2283693201402,-242.7856606876149,0.0,-13.442709474002614,0.0,0.0,0.0,116.22599553126915,
train,2,0,1,0.001,-266.8867540546492,-253.44404512293198,0.0,-13.442709474002614,0.0,0.0,0.0,116.22634768018536,
train,3,0,1,0.001,-327.867738013174,-314.42502878226486,0.0,-13.442709474002614,0.0,0.0,0.0,116.22623563280293,
train,4,0,1,0.001,-437.91797533222274,-424.4752681956572,0.0,-13.442709474002614,0.0,0.0,0.0,116.22549872304879,
train,5,0,1,0.001,-724.0934053308823,-710.6506993910846,0.0,-13.442709474002614,0.0,0.0,0.0,116.22675951789407,1.0199300050735474
train,6,0,1,0.001,-1335.1153564453125,-1321.6726397346047,0.0,-13.442709474002614,0.0,0.0,0.0,116.2270860858992,
train,7,0,1,0.001,-2039.0606617647059,-2025.6179390701593,0.0,-13.442709474002614,0.0,0.0,0.0,116.22631058038449,
train,8,0,1,0.001,-2603.4410184972426,-2589.9983101639095,0.0,-13.442709474002614,0.0,0.0,0.0,116.22459650974648,
train,9,0,1,0.001,-2868.194398169424,-2854.7516898360905,0.0,-13.442709474002614,0.0,0.0,0.0,116.22417659385532,
train,10,0,1,0.001,-2987.3006711473654,-2973.857962814032,0.0,-13.442709474002614,0.0,0.0,0.0,116.22412917193245,-0.015416624955832958
train,11,0,1,0.001,-3090.5838216145835,-3077.14111328125,0.0,-13.442709474002614,0.0,0.0,0.0,116.22412094415402,
train,12,0,1,0.001,-3114.2934905407474,-3100.8507822074143,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,13,0,1,0.001,-3120.2391716452207,-3106.7964633118872,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,14,0,1,0.001,-3103.058474073223,-3089.61576573989,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,15,0,1,0.001,-3108.651927274816,-3095.209218941483,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.015884220600128174
train,16,0,1,0.001,-3110.393683938419,-3096.9509756050857,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,17,0,1,0.001,-3110.9348910462622,-3097.4921827129288,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,18,0,1,0.001,-3110.395689721201,-3096.9529813878676,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,19,0,1,0.001,-3108.804017310049,-3095.3613089767155,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,20,0,1,0.001,-3112.067454618566,-3098.624746285233,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.01588432490825653
train,21,0,1,0.001,-3116.3553012025122,-3102.9125928691788,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,22,0,1,0.001,-3117.323337928922,-3103.8806295955883,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,23,0,1,0.001,-3127.4676729090074,-3114.024964575674,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,24,0,1,0.001,-3101.188534007353,-3087.7458256740197,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,25,0,1,0.001,-3118.4850068933824,-3105.042298560049,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.015884485095739365
train,26,0,1,0.001,-3121.6191119025734,-3108.1764035692404,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,27,0,1,0.001,-3122.9846526501224,-3109.5419443167893,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,28,0,1,0.001,-3110.515079273897,-3097.072370940564,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,29,0,1,0.001,-3106.1850633808212,-3092.7423550474878,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,30,0,1,0.001,-3110.4597024356617,-3097.016994102328,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.015884485095739365
train,31,0,1,0.001,-3113.5690870098038,-3100.1263786764707,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,32,0,1,0.001,-3118.8192976409314,-3105.376589307598,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,33,0,1,0.001,-3113.9623257506128,-3100.5196174172793,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,34,0,1,0.001,-3108.092380897672,-3094.6496725643383,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,35,0,1,0.001,-3121.280709060968,-3107.8380007276346,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.0158846452832222
train,36,0,1,0.001,-3114.1584329044117,-3100.715724571078,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,37,0,1,0.001,-3124.479793772978,-3111.0370854396447,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,38,0,1,0.001,-3113.551365272672,-3100.1086569393383,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,39,0,1,0.001,-3114.726447610294,-3101.2837392769607,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,40,0,1,0.001,-3118.06587488511,-3104.623166551777,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.0158846452832222
train,41,0,1,0.001,-3117.8459233302697,-3104.403214996936,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,42,0,1,0.001,-3111.197193818934,-3097.7544854856005,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,43,0,1,0.001,-3113.5335813036154,-3100.090872970282,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,44,0,1,0.001,-3116.634224685968,-3103.1915163526346,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,45,0,1,0.001,-3116.610289330576,-3103.1675809972426,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.015887867659330368
train,46,0,1,0.001,-3120.36834118413,-3106.925632850797,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,47,0,1,0.001,-3113.710023169424,-3100.2673148360905,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,48,0,1,0.001,-3118.8841959635415,-3105.4414876302085,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,49,0,1,0.001,-3114.5493977864585,-3101.106689453125,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,50,0,1,0.001,-3118.0169988893995,-3104.574290556066,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.015887655317783356
train,51,0,1,0.001,-3114.3304802389707,-3100.8877719056372,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,52,0,1,0.001,-3125.015021829044,-3111.5723134957107,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,53,0,1,0.001,-3119.6703622855393,-3106.227653952206,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,54,0,1,0.001,-3115.221425972733,-3101.7787176393995,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,55,0,1,0.001,-3119.0575166590074,-3105.614808325674,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,-0.015887867659330368
train,56,0,1,0.001,-3111.2101907169117,-3097.767482383578,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,57,0,1,0.001,-3108.583678002451,-3095.1409696691176,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,58,0,1,0.001,-3118.8520316329655,-3105.4093232996324,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
train,59,0,1,0.001,-3110.748176125919,-3097.3054677925857,0.0,-13.442709474002614,0.0,0.0,0.0,116.2241189994064,
