phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
train,0,0,1,0.001,-233.43714755189185,-218.57363981359146,0.0,-14.863507289512485,0.0,0.0,0.0,111.13356706207874,
train,1,0,1,0.001,-262.21179648006665,-246.50346404430914,0.0,-15.708333258535347,0.0,0.0,0.0,117.76729598699832,
train,2,0,1,0.001,-286.9368049771178,-270.624350753485,0.0,-16.312455252105114,0.0,0.0,0.0,123.20528007956112,
train,3,0,1,0.001,-369.10697488223803,-352.4009441300934,0.0,-16.70603037815468,0.0,0.0,0.0,127.25753380270565,
train,4,0,1,0.001,-519.2540390912225,-502.30700085209867,0.0,-16.947038183025285,0.0,0.0,0.0,130.0772378958908,
train,5,0,1,0.001,-892.4864549823836,-875.3968852922028,0.0,-17.089565464094573,0.0,0.0,0.0,131.9732489492379,0.9680737853050232
train,6,0,1,0.001,-1657.7778990502452,-1640.5997170840992,0.0,-17.178175627016554,0.0,0.0,0.0,133.2534683825923,
train,7,0,1,0.001,-2431.9971469056372,-2414.7549929151346,0.0,-17.24214864244648,0.0,0.0,0.0,134.1818152034984,
train,8,0,1,0.001,-3013.8714240579043,-2996.576593137255,0.0,-17.294838475246056,0.0,0.0,0.0,134.94226971794578,
train,9,0,1,0.001,-3291.971808938419,-3274.6311513863357,0.0,-17.340660618800744,0.0,0.0,0.0,135.63738086176855,
train,10,0,1,0.001,-3432.7312251072303,-3415.3502077588846,0.0,-17.3810198914771,0.0,0.0,0.0,136.30961294735178,-0.014494243077933788
train,11,0,1,0.001,-3570.666312423407,-3553.24968884038,0.0,-17.416634073444442,0.0,0.0,0.0,136.9717669019512,
train,12,0,1,0.001,-3682.233580346201,-3664.7854769837622,0.0,-17.448093376907647,0.0,0.0,0.0,137.62486745796951,
train,13,0,1,0.001,-3714.0665067784926,-3696.5905570235905,0.0,-17.47593829211067,0.0,0.0,0.0,138.26601843740426,
train,14,0,1,0.001,-3710.251393037684,-3692.750732421875,0.0,-17.5006586710612,0.0,0.0,0.0,138.89182939716414,
train,15,0,1,0.001,-3733.187370749081,-3715.6646848192404,0.0,-17.52268342410817,0.0,0.0,0.0,139.49957948572495,-0.015896283090114594
train,16,0,1,0.001,-3751.051877489277,-3733.5094927619484,0.0,-17.542383979348575,0.0,0.0,0.0,140.0874506632487,
