phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
train,0,0,3,0.001,0.00882898244124494,0.00882898244124494,0.0,0.0,0.0,0.0,0.0,-0.0035278193612803556,
train,1,0,3,0.001,0.007570493378137287,0.007570493378137287,0.0,0.0,0.0,0.0,0.0,-6.072788719872111e-05,
train,2,0,3,0.001,0.015593124565815455,0.015593124565815455,0.0,0.0,0.0,0.0,0.0,-0.004944151052960048,
train,3,0,3,0.001,-0.0028879107956431413,-0.0028879107956431413,0.0,0.0,0.0,0.0,0.0,-1.3897514068766645e-05,
train,4,0,3,0.001,0.013338222070352027,0.013338222070352027,0.0,0.0,0.0,0.0,0.0,-0.0066425476642938235,
train,5,0,3,0.001,0.010750008337996214,0.010750008337996214,0.0,0.0,0.0,0.0,0.0,-0.0024320913699308506,1.7241411209106445
train,6,0,3,0.001,0.013675336574363572,0.013675336574363572,0.0,0.0,0.0,0.0,0.0,-0.005329016914689227,
train,7,0,3,0.001,0.014214271121952487,0.014214271121952487,0.0,0.0,0.0,0.0,0.0,-0.005496216680560457,
train,8,0,3,0.001,0.018212601217735363,0.018212601217735363,0.0,0.0,0.0,0.0,0.0,-0.006325201443886678,
train,9,0,3,0.001,0.006937514377855941,0.006937514377855941,0.0,0.0,0.0,0.0,0.0,-0.005018642141581758,
train,10,0,3,0.001,0.013476696202384406,0.013476696202384406,0.0,0.0,0.0,0.0,0.0,-0.006078739754708582,1.7342396974563599
train,11,0,3,0.001,0.00886431030046783,0.00886431030046783,0.0,0.0,0.0,0.0,0.0,-0.0021848966563610653,
train,12,0,3,0.001,0.009101129994776688,0.009101129994776688,0.0,0.0,0.0,0.0,0.0,-0.0013594297496111768,
train,13,0,3,0.001,0.013823104090988636,0.013823104090988636,0.0,0.0,0.0,0.0,0.0,-0.0057778837171530255,
train,14,0,3,0.001,0.015959822710627986,0.015959822710627986,0.0,0.0,0.0,0.0,0.0,-0.00715002542557685,
train,15,0,3,0.001,0.008342666036792491,0.008342666036792491,0.0,0.0,0.0,0.0,0.0,-0.0034813422979296823,1.7119611501693726
train,16,0,3,0.001,0.01694060025712181,0.01694060025712181,0.0,0.0,0.0,0.0,0.0,-0.0050272140284313965,
train,17,0,3,0.001,0.004922191538897,0.004922191538897,0.0,0.0,0.0,0.0,0.0,-0.0036673937483053458,
train,18,0,3,0.001,0.003734674837783371,0.003734674837783371,0.0,0.0,0.0,0.0,0.0,-0.0030139666540842307,
train,19,0,3,0.001,0.014269203627727142,0.014269203627727142,0.0,0.0,0.0,0.0,0.0,-0.005145889639511313,
train,20,0,3,0.001,0.010850876771942958,0.010850876771942958,0.0,0.0,0.0,0.0,0.0,-0.004546773910988122,1.7068696022033691
train,21,0,3,0.001,0.0114010415762957,0.0114010415762957,0.0,0.0,0.0,0.0,0.0,-0.00279963114543965,
train,22,0,3,0.001,0.006393718141082086,0.006393718141082086,0.0,0.0,0.0,0.0,0.0,-0.0024486055818239323,
train,23,0,3,0.001,0.013609811112186626,0.013609811112186626,0.0,0.0,0.0,0.0,0.0,-0.006460841328493859,
train,24,0,3,0.001,0.015950004110651974,0.015950004110651974,0.0,0.0,0.0,0.0,0.0,-0.00626770993939748,
