seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,0.1,64,0.001,2.109,1.165,0.001,0.01
1,1,0.001,64,0.001,2.52,1.194,0.001,0.009
0,1,0.1,64,0.001,6.504,1.599,0.005,0.011
1,1,10.0,64,0.001,1.846,1.099,0.001,0.007
1,1,1.0,64,0.001,1.747,1.096,0.001,0.007
0,1,1.0,64,0.001,1.712,1.091,0.001,0.007
0,1,10.0,64,0.001,1.721,1.092,0.001,0.007
0,1,0.001,64,0.001,3.372,1.302,0.002,0.011
2,1,0.001,64,0.001,3.225,1.288,0.002,0.011
2,1,0.1,64,0.001,2.656,1.21,0.002,0.01
2,1,1.0,64,0.001,0.918,1.055,0.0,0.007
2,1,10.0,64,0.001,4.296,1.327,0.003,0.009
3,1,0.001,64,0.001,3.324,1.329,0.003,0.012
3,1,0.1,64,0.001,4.344,1.423,0.003,0.012
3,1,10.0,64,0.001,1.705,1.091,0.001,0.007
3,1,1.0,64,0.001,3.325,1.301,0.002,0.011
4,1,0.001,64,0.001,7.377,1.663,0.005,0.011
4,1,0.1,64,0.001,8.627,1.809,0.006,0.011
4,1,1.0,64,0.001,4.38,1.404,0.003,0.011
4,1,10.0,64,0.001,1.78,1.096,0.001,0.007
5,1,0.001,64,0.001,2.028,1.124,0.001,0.007
5,1,0.1,64,0.001,2.289,1.143,0.001,0.008
5,1,1.0,64,0.001,3.094,1.296,0.002,0.012
5,1,10.0,64,0.001,1.772,1.097,0.001,0.007
6,1,0.001,64,0.001,0.498,1.036,0.0,0.009
6,1,0.1,64,0.001,2.815,1.171,0.001,0.007
6,1,1.0,64,0.001,3.005,1.315,0.002,0.013
6,1,10.0,64,0.001,1.715,1.092,0.001,0.007
7,1,0.001,64,0.001,1.586,1.1,0.001,0.008
7,1,0.1,64,0.001,2.703,1.162,0.001,0.007
7,1,1.0,64,0.001,7.114,1.639,0.005,0.011
7,1,10.0,64,0.001,1.538,1.081,0.001,0.006
8,1,0.001,64,0.001,1.563,1.094,0.001,0.007
8,1,0.1,64,0.001,0.555,1.036,0.0,0.008
8,1,1.0,64,0.001,2.551,1.159,0.001,0.008
8,1,10.0,64,0.001,1.735,1.093,0.001,0.007
9,1,0.001,64,0.001,7.101,1.639,0.005,0.011
9,1,0.1,64,0.001,7.194,1.66,0.005,0.011
9,1,10.0,64,0.001,1.729,1.092,0.001,0.007
9,1,1.0,64,0.001,2.903,1.24,0.002,0.01
