seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
6,1,0.1,64,0.001,2.815,1.171,0.001,0.007
8,1,0.1,64,0.001,0.555,1.036,0.0,0.008
2,1,0.1,64,0.001,2.656,1.21,0.002,0.01
5,1,0.1,64,0.001,2.289,1.143,0.001,0.008
1,1,0.1,64,0.001,2.109,1.165,0.001,0.01
0,1,0.1,64,0.001,6.504,1.599,0.005,0.011
3,1,0.1,64,0.001,4.344,1.423,0.003,0.012
9,1,0.1,64,0.001,7.194,1.66,0.005,0.011
4,1,0.1,64,0.001,8.627,1.809,0.006,0.011
7,1,0.1,64,0.001,2.703,1.162,0.001,0.007
10,1,0.1,64,0.001,7.826,1.69,0.005,0.011
11,1,0.1,64,0.001,1.553,1.094,0.001,0.007
12,1,0.1,64,0.001,9.059,1.856,0.007,0.012
13,1,0.1,64,0.001,6.897,1.627,0.005,0.011
15,1,0.1,64,0.001,6.986,1.634,0.005,0.011
14,1,0.1,64,0.001,6.175,1.548,0.004,0.011
17,1,0.1,64,0.001,6.995,1.632,0.005,0.011
16,1,0.1,64,0.001,3.849,1.343,0.003,0.011
18,1,0.1,64,0.001,1.896,1.196,0.002,0.013
19,1,0.1,64,0.001,4.616,1.421,0.003,0.011
20,1,0.1,64,0.001,0.748,1.048,0.0,0.008
21,1,0.1,64,0.001,3.605,1.369,0.003,0.012
22,1,0.1,64,0.001,3.461,1.302,0.002,0.011
23,1,0.1,64,0.001,2.683,1.206,0.002,0.009
24,1,0.1,64,0.001,6.424,1.615,0.005,0.012
25,1,0.1,64,0.001,6.806,1.631,0.005,0.011
26,1,0.1,64,0.001,3.58,1.324,0.002,0.011
27,1,0.1,64,0.001,8.513,1.896,0.007,0.013
28,1,0.1,64,0.001,3.829,1.367,0.003,0.012
29,1,0.1,64,0.001,2.617,1.158,0.001,0.007
