seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,0.001,64,0.001,5.338,1.465,0.004,0.011
2,1,0.001,64,0.001,2.97,1.285,0.002,0.012
0,1,10.0,64,0.001,1.931,1.227,0.002,0.014
1,1,0.1,64,0.001,2.026,1.122,0.001,0.007
0,1,1.0,64,0.001,1.619,1.156,0.001,0.012
0,1,0.1,64,0.001,3.301,1.251,0.002,0.009
0,1,0.001,64,0.001,7.55,1.696,0.005,0.011
1,1,10.0,64,0.001,0.828,1.071,0.001,0.01
2,1,0.1,64,0.001,4.181,1.425,0.003,0.012
1,1,1.0,64,0.001,1.225,1.141,0.001,0.014
2,1,1.0,64,0.001,1.014,1.117,0.001,0.014
3,1,0.1,64,0.001,6.79,1.618,0.005,0.011
3,1,10.0,64,0.001,1.156,1.119,0.001,0.013
3,1,1.0,64,0.001,3.229,1.351,0.003,0.013
2,1,10.0,64,0.001,1.311,1.135,0.001,0.013
3,1,0.001,64,0.001,6.308,1.572,0.004,0.011
4,1,0.001,64,0.001,6.509,1.592,0.005,0.011
4,1,10.0,64,0.001,0.82,1.071,0.001,0.011
4,1,1.0,64,0.001,3.484,1.382,0.003,0.013
4,1,0.1,64,0.001,7.866,1.717,0.006,0.011
5,1,0.001,64,0.001,2.647,1.252,0.002,0.012
5,1,0.1,64,0.001,2.915,1.273,0.002,0.011
5,1,10.0,64,0.001,0.1,1.007,0.0,0.009
6,1,0.1,64,0.001,9.369,2.055,0.008,0.014
5,1,1.0,64,0.001,1.121,1.107,0.001,0.012
6,1,0.001,64,0.001,4.936,1.485,0.004,0.012
6,1,1.0,64,0.001,0.492,1.059,0.0,0.015
6,1,10.0,64,0.001,-0.076,0.995,-0.0,0.008
7,1,0.1,64,0.001,8.635,1.756,0.006,0.011
7,1,0.001,64,0.001,7.063,1.634,0.005,0.011
7,1,1.0,64,0.001,-0.295,0.979,-0.0,0.009
7,1,10.0,64,0.001,0.504,1.046,0.0,0.011
8,1,0.1,64,0.001,2.985,1.186,0.001,0.008
8,1,0.001,64,0.001,1.781,1.113,0.001,0.008
8,1,1.0,64,0.001,1.296,1.12,0.001,0.011
8,1,10.0,64,0.001,1.519,1.156,0.001,0.013
9,1,0.001,64,0.001,2.428,1.228,0.002,0.011
9,1,0.1,64,0.001,9.38,2.02,0.008,0.013
9,1,1.0,64,0.001,1.336,1.164,0.001,0.015
9,1,10.0,64,0.001,2.241,1.26,0.002,0.014
