window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
80,0.001,64,0.001,4.5,2.1389,1.1678000000000002,0.0012000000000000001,0.0104
80,0.1,64,0.001,4.5,1.8953,1.1487,0.0009000000000000001,0.0104
80,1.0,64,0.001,4.5,1.9237000000000002,1.124,0.0008,0.008400000000000001
80,10.0,64,0.001,4.5,0.8321999999999999,1.0998999999999999,0.0007,0.0129
100,0.001,64,0.001,4.5,1.7208999999999999,1.1346,0.001,0.0108
100,0.1,64,0.001,4.5,1.4293,1.1347,0.001,0.0126
100,1.0,64,0.001,4.5,1.0363,1.1077,0.0007,0.0128
100,10.0,64,0.001,4.5,0.8744,1.1042999999999998,0.0007,0.0131
150,0.001,64,0.001,4.5,1.3831,1.1113,0.0008,0.010199999999999999
150,0.1,64,0.001,4.5,1.384,1.1375,0.001,0.0125
150,1.0,64,0.001,4.5,0.9587999999999999,1.1165999999999998,0.0008,0.013699999999999999
150,10.0,64,0.001,4.5,0.8324999999999999,1.0885,0.0006000000000000001,0.011399999999999999
