window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,2.7752499999999998,64.0,0.001,4.5,3.674075,1.33905,0.002575,0.010775
2,2.7752499999999998,64.0,0.001,4.5,0.002150000000000013,1.003925,0.000125,0.011875
3,2.7752499999999998,64.0,0.001,4.5,0.6382249999999999,1.0493999999999999,0.00042500000000000003,0.009925
4,2.7752499999999998,64.0,0.001,4.5,-0.21339999999999998,0.979625,-0.00025,0.01145
5,2.7752499999999998,64.0,0.001,4.5,-0.00847500000000001,1.00355,-2.500000000000001e-05,0.01135
10,2.7752499999999998,64.0,0.001,4.5,0.5018250000000001,1.0516,0.00030000000000000003,0.010775
15,2.7752499999999998,64.0,0.001,4.5,0.8476,1.0738,0.000475,0.01005
20,2.7752499999999998,64.0,0.001,4.5,0.5788249999999999,1.063425,0.000375,0.012125
40,2.7752499999999998,64.0,0.001,4.5,1.149025,1.099025,0.00075,0.010525
60,2.7752499999999998,64.0,0.001,4.5,1.5866250000000002,1.13795,0.0009249999999999999,0.0115
