window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,0.001,32,1e-05,4.5,1.7026,1.0912000000000002,0.001,0.0066
1,0.001,32,0.0001,4.5,1.6709,1.0904,0.001,0.0067
1,0.001,32,0.0005,4.5,1.6347999999999998,1.0925,0.001,0.006900000000000001
1,0.001,32,0.001,4.5,1.6687999999999998,1.0934000000000001,0.001,0.006900000000000001
1,0.001,32,0.005,4.5,1.6463999999999999,1.089,0.001,0.0066
1,0.001,32,0.01,4.5,1.6138000000000001,1.0866,0.001,0.0067
1,0.001,64,1e-05,4.5,1.6831,1.0903,0.001,0.0068000000000000005
1,0.001,64,0.0001,4.5,1.6766999999999999,1.0904,0.001,0.0067
1,0.001,64,0.0005,4.5,1.6626999999999998,1.0895,0.001,0.0066
1,0.001,64,0.001,4.5,1.6611,1.0899,0.001,0.0067
1,0.001,64,0.005,4.5,1.6684999999999999,1.0901,0.001,0.0068000000000000005
1,0.001,64,0.01,4.5,1.5943,1.0945,0.001,0.0075
1,0.001,128,1e-05,4.5,1.6933,1.0913,0.001,0.0066
1,0.001,128,0.0001,4.5,1.6984000000000001,1.0914,0.001,0.0067
1,0.001,128,0.0005,4.5,1.5158,1.0844,0.0008,0.007000000000000001
1,0.001,128,0.001,4.5,1.3592,1.0809,0.0008,0.0077
1,0.001,128,0.005,4.5,1.6387,1.1009,0.001,0.0077
1,0.001,128,0.01,4.5,1.5904,1.0928,0.001,0.0075
1,0.01,32,1e-05,4.5,1.7018,1.0912000000000002,0.001,0.0066
1,0.01,32,0.0001,4.5,1.6758,1.0909,0.001,0.0066
1,0.01,32,0.0005,4.5,1.6719000000000002,1.0925,0.001,0.0068000000000000005
1,0.01,32,0.001,4.5,1.6279,1.0937,0.001,0.0072
1,0.01,32,0.005,4.5,1.5329000000000002,1.0842,0.0009000000000000001,0.0070999999999999995
1,0.01,32,0.01,4.5,1.6303999999999998,1.0875,0.001,0.0068000000000000005
1,0.01,64,1e-05,4.5,1.682,1.0904,0.001,0.0068000000000000005
1,0.01,64,0.0001,4.5,1.6841000000000002,1.0909,0.001,0.0067
1,0.01,64,0.0005,4.5,1.6806999999999999,1.0912,0.001,0.0068000000000000005
1,0.01,64,0.001,4.5,1.6661000000000001,1.0902,0.001,0.0067
1,0.01,64,0.005,4.5,1.6658000000000002,1.0915,0.001,0.0068000000000000005
1,0.01,64,0.01,4.5,1.6068000000000002,1.0869,0.001,0.0068000000000000005
1,0.01,128,1e-05,4.5,1.6953,1.0913,0.001,0.0066
1,0.01,128,0.0001,4.5,1.6984000000000001,1.0917,0.001,0.0068000000000000005
1,0.01,128,0.0005,4.5,1.6646999999999998,1.0986,0.001,0.0073999999999999995
1,0.01,128,0.001,4.5,1.5557,1.1013,0.001,0.008499999999999999
1,0.01,128,0.005,4.5,1.7143000000000002,1.0938,0.001,0.0068000000000000005
1,0.01,128,0.01,4.5,1.7111,1.1028,0.001,0.007299999999999999
1,0.1,32,1e-05,4.5,1.7001000000000002,1.0911,0.001,0.0066
1,0.1,32,0.0001,4.5,1.6722000000000001,1.0905,0.001,0.0067
1,0.1,32,0.0005,4.5,1.6605,1.0908,0.001,0.0067
1,0.1,32,0.001,4.5,1.6745999999999999,1.0906,0.001,0.0067
1,0.1,32,0.005,4.5,1.6504,1.0892,0.001,0.0066
1,0.1,32,0.01,4.5,1.6959,1.0932,0.001,0.0067
1,0.1,64,1e-05,4.5,1.6809,1.0906,0.001,0.0068000000000000005
1,0.1,64,0.0001,4.5,1.6741,1.0903,0.001,0.0067
1,0.1,64,0.0005,4.5,1.6733,1.0907,0.001,0.0067
1,0.1,64,0.001,4.5,1.673,1.0904,0.001,0.0067
1,0.1,64,0.005,4.5,1.6350000000000002,1.0883,0.001,0.0066
1,0.1,64,0.01,4.5,1.6297000000000001,1.0961,0.001,0.007300000000000001
1,0.1,128,1e-05,4.5,1.6956,1.0916000000000001,0.001,0.0066
1,0.1,128,0.0001,4.5,1.7116,1.0923,0.001,0.0068000000000000005
1,0.1,128,0.0005,4.5,1.6992999999999998,1.0938,0.001,0.007000000000000001
1,0.1,128,0.001,4.5,1.6550999999999998,1.0965,0.001,0.007200000000000001
1,0.1,128,0.005,4.5,1.5974,1.1031,0.001,0.0081
1,0.1,128,0.01,4.5,1.5498999999999998,1.0995,0.0009000000000000001,0.0079
1,0.5,32,1e-05,4.5,1.691,1.0912000000000002,0.001,0.0067
1,0.5,32,0.0001,4.5,1.6659,1.0903,0.001,0.0067
1,0.5,32,0.0005,4.5,1.6626,1.0933,0.001,0.006900000000000001
1,0.5,32,0.001,4.5,1.6786999999999999,1.0911,0.001,0.0067
1,0.5,32,0.005,4.5,1.6882000000000001,1.092,0.001,0.0067
1,0.5,32,0.01,4.5,1.656,1.0915000000000001,0.001,0.0068000000000000005
1,0.5,64,1e-05,4.5,1.6811,1.0909,0.001,0.0068000000000000005
1,0.5,64,0.0001,4.5,1.6811,1.091,0.001,0.0068000000000000005
1,0.5,64,0.0005,4.5,1.6826999999999999,1.091,0.001,0.0067
1,0.5,64,0.001,4.5,1.6793,1.0908,0.001,0.0067
