phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_dyn,0,0,2,0.001,-0.1574984994218793,0.0,0.0,0.0,-0.16037157238569372,0.2873072107863981,0.0,-0.007719675923675992,
warmup_dyn,1,0,2,0.001,-0.42221223961475285,0.0,0.0,0.0,-0.4256379084531651,0.3425669877161813,0.0,-0.005266110504825794,
warmup_dyn,2,0,2,0.001,-0.8748724959617438,0.0,0.0,0.0,-0.8650130047354587,-0.98594870080435,0.0,-0.003977469753387363,
warmup_dyn,3,0,2,0.001,-1.568428782529609,0.0,0.0,0.0,-1.5728982964227365,0.4469510405216106,0.0,-0.007513629586630782,
warmup_dyn,4,0,2,0.001,-2.664688071539236,0.0,0.0,0.0,-2.657149386960407,-0.7538668917015542,0.0,-0.0024042538269747828,
warmup_dyn,5,0,2,0.001,-4.228802913843199,0.0,0.0,0.0,-4.228599958641585,-0.02029622952605403,0.0,-0.0022014770223650823,
warmup_dyn,6,0,2,0.001,-6.46394578800645,0.0,0.0,0.0,-6.461407594902571,-0.2538168939577719,0.0,-0.002935675384346829,
warmup_dyn,7,0,2,0.001,-9.234964171121288,0.0,0.0,0.0,-9.234032708545064,-0.09314934766396533,0.0,-0.005568211405473047,
warmup_dyn,8,0,2,0.001,-11.583636971407158,0.0,0.0,0.0,-11.582517357759697,-0.11196436236482547,0.0,-0.005657429346641482,
warmup_dyn,9,0,2,0.001,-13.153471924537836,0.0,0.0,0.0,-13.151219545408736,-0.22523959648124006,0.0,-0.003165144050970327,
warmup_dyn,10,0,2,0.001,-14.010543468386627,0.0,0.0,0.0,-14.008382930312045,-0.21605143645713323,0.0,-0.005331054771167421,
warmup_dyn,11,0,2,0.001,-14.63287630746531,0.0,0.0,0.0,-14.630925023278525,-0.1951339797896528,0.0,-0.003168816223394039,
warmup_dyn,12,0,2,0.001,-15.048689775688704,0.0,0.0,0.0,-15.046752264333326,-0.1937456735041599,0.0,-0.006751325614966972,
warmup_dyn,13,0,2,0.001,-15.464668473532033,0.0,0.0,0.0,-15.46305195120878,-0.16164568338413224,0.0,-0.0038551238235519374,
warmup_dyn,14,0,2,0.001,-15.69043086295904,0.0,0.0,0.0,-15.688828867535259,-0.16019318155337905,0.0,-0.004945336591972168,
warmup_dyn,15,0,2,0.001,-15.948005432306333,0.0,0.0,0.0,-15.946263934290686,-0.17414128538405557,0.0,-0.003655614022728662,
warmup_dyn,16,0,2,0.001,-16.12748316831367,0.0,0.0,0.0,-16.12583504166714,-0.16481290281165478,0.0,-0.0013602950371975123,
warmup_dyn,17,0,2,0.001,-16.26275588190833,0.0,0.0,0.0,-16.260820033938387,-0.1935911540721738,0.0,-0.004162556545938863,
warmup_dyn,18,0,2,0.001,-16.417324421017668,0.0,0.0,0.0,-16.415403964907625,-0.19205602160979843,0.0,-0.0005012671788071477,
warmup_dyn,19,0,2,0.001,-16.56270058210506,0.0,0.0,0.0,-16.56080456667168,-0.18960920943293808,0.0,-0.003234884073567945,
warmup_dyn,20,0,2,0.001,-16.658478049344794,0.0,0.0,0.0,-16.656659281531045,-0.1818768263058087,0.0,-0.0054304816619341455,
warmup_dyn,21,0,2,0.001,-16.74032337721004,0.0,0.0,0.0,-16.738431154295455,-0.1892279148275076,0.0,-0.002417275877019694,
warmup_dyn,22,0,2,0.001,-16.717631450919217,0.0,0.0,0.0,-16.71584189215372,-0.17895984281460905,0.0,-0.008365213933270858,
warmup_dyn,23,0,2,0.001,-16.744108200073242,0.0,0.0,0.0,-16.742243922033975,-0.18642592802643776,0.0,-0.002843970139131903,
warmup_dyn,24,0,2,0.001,-16.92241156378458,0.0,0.0,0.0,-16.920387800349747,-0.20236938030913817,0.0,-0.009140868146015807,
