phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
train,0,0,2,0.001,-0.0005454938969748138,-0.0005454938969748138,0.0,0.0,0.0,0.0,0.0,-0.0037345408656915954,
train,1,0,2,0.001,0.004887375890935208,0.004887375890935208,0.0,0.0,0.0,0.0,0.0,-0.00455764620727318,
train,2,0,2,0.001,-0.0012184922626718533,-0.0012184922626718533,0.0,0.0,0.0,0.0,0.0,-0.002654819467733073,
train,3,0,2,0.001,-0.0032187826440095643,-0.0032187826440095643,0.0,0.0,0.0,0.0,0.0,-0.0017126775265476385,
train,4,0,2,0.001,0.002205061347245477,0.002205061347245477,0.0,0.0,0.0,0.0,0.0,-0.003979076566391213,
train,5,0,2,0.001,-0.001409523720551163,-0.001409523720551163,0.0,0.0,0.0,0.0,0.0,-0.003931944935344333,1.7360420227050781
train,6,0,2,0.001,-0.005935720503763404,-0.005935720503763404,0.0,0.0,0.0,0.0,0.0,-0.0008301983295051857,
train,7,0,2,0.001,0.0032182466157517115,0.0032182466157517115,0.0,0.0,0.0,0.0,0.0,-0.004122655026528032,
train,8,0,2,0.001,0.004213625121168619,0.004213625121168619,0.0,0.0,0.0,0.0,0.0,-0.005264105778837273,
train,9,0,2,0.001,0.009874764829112601,0.009874764829112601,0.0,0.0,0.0,0.0,0.0,-0.007368931730905938,
train,10,0,2,0.001,-0.006631489745666122,-0.006631489745666122,0.0,0.0,0.0,0.0,0.0,-0.0005733098314945088,1.7568379640579224
train,11,0,2,0.001,0.00563453835486651,0.00563453835486651,0.0,0.0,0.0,0.0,0.0,-0.0030166806360750003,
train,12,0,2,0.001,-0.0028622602437471233,-0.0028622602437471233,0.0,0.0,0.0,0.0,0.0,-0.0035509011697370647,
train,13,0,2,0.001,-0.008934293462093486,-0.008934293462093486,0.0,0.0,0.0,0.0,0.0,7.946839079607365e-05,
train,14,0,2,0.001,0.00996240045940287,0.00996240045940287,0.0,0.0,0.0,0.0,0.0,-0.009812237999434474,
train,15,0,2,0.001,0.009245305707709968,0.009245305707709968,0.0,0.0,0.0,0.0,0.0,-0.008514857396136883,1.7375205755233765
train,16,0,2,0.001,0.007081799651090012,0.007081799651090012,0.0,0.0,0.0,0.0,0.0,-0.005809215179016424,
train,17,0,2,0.001,-0.0006763726411262786,-0.0006763726411262786,0.0,0.0,0.0,0.0,0.0,-0.0025618302684580515,
train,18,0,2,0.001,-0.005774149971710908,-0.005774149971710908,0.0,0.0,0.0,0.0,0.0,-0.0021575120775852094,
train,19,0,2,0.001,0.009749467222041688,0.009749467222041688,0.0,0.0,0.0,0.0,0.0,-0.007607357102706162,
train,20,0,2,0.001,0.00917469154566873,0.00917469154566873,0.0,0.0,0.0,0.0,0.0,-0.005668580239682004,1.7344146966934204
train,21,0,2,0.001,0.0024818374049784832,0.0024818374049784832,0.0,0.0,0.0,0.0,0.0,-0.00229172752953546,
train,22,0,2,0.001,0.003629245132689776,0.003629245132689776,0.0,0.0,0.0,0.0,0.0,-0.005533131922400275,
train,23,0,2,0.001,-0.0016685942523614612,-0.0016685942523614612,0.0,0.0,0.0,0.0,0.0,-0.002550889694586743,
train,24,0,2,0.001,0.006412841157641175,0.006412841157641175,0.0,0.0,0.0,0.0,0.0,-0.006974955809540873,
train,25,0,2,0.001,0.009779455530089002,0.009779455530089002,0.0,0.0,0.0,0.0,0.0,-0.00893512380114475,1.7397037744522095
train,26,0,2,0.001,0.005672322199030151,0.005672322199030151,0.0,0.0,0.0,0.0,0.0,-0.007393931255264338,
train,27,0,2,0.001,-0.003644802380179943,-0.003644802380179943,0.0,0.0,0.0,0.0,0.0,-0.0021410658847280713,
train,28,0,2,0.001,-0.00646853954585399,-0.00646853954585399,0.0,0.0,0.0,0.0,0.0,0.0008216587295972331,
train,29,0,2,0.001,0.005521667162822776,0.005521667162822776,0.0,0.0,0.0,0.0,0.0,-0.004448300877282786,
train,30,0,2,0.001,0.0026113716560567535,0.0026113716560567535,0.0,0.0,0.0,0.0,0.0,-0.0053651332638637965,1.7257376909255981
train,31,0,2,0.001,-0.001399164994244381,-0.001399164994244381,0.0,0.0,0.0,0.0,0.0,-0.0014705509705425694,
train,32,0,2,0.001,0.006173939628223347,0.006173939628223347,0.0,0.0,0.0,0.0,0.0,-0.007744771785774204,
train,33,0,2,0.001,0.0027804925041489824,0.0027804925041489824,0.0,0.0,0.0,0.0,0.0,-0.005570678286752556,
train,34,0,2,0.001,0.006296758913586653,0.006296758913586653,0.0,0.0,0.0,0.0,0.0,-0.006329706545139468,
train,35,0,2,0.001,0.0034991894512935435,0.0034991894512935435,0.0,0.0,0.0,0.0,0.0,-0.0052886621181874776,1.7348453998565674
train,36,0,2,0.001,-8.212451736421085e-05,-8.212451736421085e-05,0.0,0.0,0.0,0.0,0.0,-0.0029794949182677406,
train,37,0,2,0.001,0.0051158059975213565,0.0051158059975213565,0.0,0.0,0.0,0.0,0.0,-0.005326758463715398,
train,38,0,2,0.001,0.000787120034950677,0.000787120034950677,0.0,0.0,0.0,0.0,0.0,-0.00395243164411811,
train,39,0,2,0.001,-0.0038341106034728675,-0.0038341106034728675,0.0,0.0,0.0,0.0,0.0,-8.743596912989782e-05,
train,40,0,2,0.001,0.0003283259697085203,0.0003283259697085203,0.0,0.0,0.0,0.0,0.0,-0.005861498047272826,1.7268900871276855
train,41,0,2,0.001,0.0005898094616916984,0.0005898094616916984,0.0,0.0,0.0,0.0,0.0,-0.0037862803830310356,
train,42,0,2,0.001,0.00930363497071423,0.00930363497071423,0.0,0.0,0.0,0.0,0.0,-0.0075331116122258615,
train,43,0,2,0.001,-0.0063396780602742245,-0.0063396780602742245,0.0,0.0,0.0,0.0,0.0,-0.001362607283734305,
train,44,0,2,0.001,0.00202036511456204,0.00202036511456204,0.0,0.0,0.0,0.0,0.0,-0.004324822654124609,
train,45,0,2,0.001,0.0021636075567627367,0.0021636075567627367,0.0,0.0,0.0,0.0,0.0,-0.005088664515507083,1.731841802597046
train,46,0,2,0.001,0.0005141442078490589,0.0005141442078490589,0.0,0.0,0.0,0.0,0.0,-0.0015734786771476096,
train,47,0,2,0.001,-0.004146710850385039,-0.004146710850385039,0.0,0.0,0.0,0.0,0.0,-0.0022346001973938805,
train,48,0,2,0.001,0.00594948137146529,0.00594948137146529,0.0,0.0,0.0,0.0,0.0,-0.006487527607701892,
train,49,0,2,0.001,0.0042200838053209145,0.0042200838053209145,0.0,0.0,0.0,0.0,0.0,-0.0033095199966716557,
train,50,0,2,0.001,0.002590602447906899,0.002590602447906899,0.0,0.0,0.0,0.0,0.0,-0.0049098816234618425,1.743975281715393
train,51,0,2,0.001,-0.0002617189324959073,-0.0002617189324959073,0.0,0.0,0.0,0.0,0.0,-0.0036937696263627255,
train,52,0,2,0.001,-0.001904565744849225,-0.001904565744849225,0.0,0.0,0.0,0.0,0.0,-0.003540824744092344,
train,53,0,2,0.001,-0.003767861148104245,-0.003767861148104245,0.0,0.0,0.0,0.0,0.0,-0.00022612224592892237,
train,54,0,2,0.001,0.0009385638540004228,0.0009385638540004228,0.0,0.0,0.0,0.0,0.0,-0.002829034173817829,
train,55,0,2,0.001,0.0017528780742797482,0.0017528780742797482,0.0,0.0,0.0,0.0,0.0,-0.002072429815090673,1.7496224641799927
train,56,0,2,0.001,0.008672308561874034,0.008672308561874034,0.0,0.0,0.0,0.0,0.0,-0.004390570004795527,
train,57,0,2,0.001,0.004715191216619555,0.004715191216619555,0.0,0.0,0.0,0.0,0.0,-0.0055978225901463004,
train,58,0,2,0.001,-0.004520026200754178,-0.004520026200754178,0.0,0.0,0.0,0.0,0.0,-0.0026647298986655337,
train,59,0,2,0.001,-0.006711173415465584,-0.006711173415465584,0.0,0.0,0.0,0.0,0.0,0.0008366449497813403,
train,60,0,2,0.001,0.004738432981634275,0.004738432981634275,0.0,0.0,0.0,0.0,0.0,-0.006055046890883944,1.7338043451309204
train,61,0,2,0.001,0.004738827691843928,0.004738827691843928,0.0,0.0,0.0,0.0,0.0,-0.0038351174227373545,
train,62,0,2,0.001,0.005080558638478261,0.005080558638478261,0.0,0.0,0.0,0.0,0.0,-0.00471147607882009,
train,63,0,2,0.001,-0.0019682715592775927,-0.0019682715592775927,0.0,0.0,0.0,0.0,0.0,-0.0031486946255575086,
train,64,0,2,0.001,0.0074456017789279304,0.0074456017789279304,0.0,0.0,0.0,0.0,0.0,-0.007266058537805843,
train,65,0,2,0.001,-0.006275483096752121,-0.006275483096752121,0.0,0.0,0.0,0.0,0.0,-0.0014245292377593212,1.7418315410614014
train,66,0,2,0.001,0.0006041116741767456,0.0006041116741767456,0.0,0.0,0.0,0.0,0.0,-0.004714877447546568,
train,67,0,2,0.001,-0.005041309540311611,-0.005041309540311611,0.0,0.0,0.0,0.0,0.0,-0.0011084213484685089,
train,68,0,2,0.001,0.0006085255042498195,0.0006085255042498195,0.0,0.0,0.0,0.0,0.0,-0.0037000150674260978,
train,69,0,2,0.001,-0.0052676590323329055,-0.0052676590323329055,0.0,0.0,0.0,0.0,0.0,0.0009101271022890889,
train,70,0,2,0.001,0.008976940623332942,0.008976940623332942,0.0,0.0,0.0,0.0,0.0,-0.006877352559375901,1.7193094491958618
train,71,0,2,0.001,0.013237725304396347,0.013237725304396347,0.0,0.0,0.0,0.0,0.0,-0.009172637844025049,
train,72,0,2,0.001,0.0027015603710572387,0.0027015603710572387,0.0,0.0,0.0,0.0,0.0,-0.004921874442939149,
train,73,0,2,0.001,-0.002243832533442697,-0.002243832533442697,0.0,0.0,0.0,0.0,0.0,-0.0021296867418514435,
train,74,0,2,0.001,0.011451550873083085,0.011451550873083085,0.0,0.0,0.0,0.0,0.0,-0.007797189820341246,
train,75,0,2,0.001,-0.0006908656782903817,-0.0006908656782903817,0.0,0.0,0.0,0.0,0.0,-0.002655104939760857,1.7136205434799194
train,76,0,2,0.001,-0.003702525201058665,-0.003702525201058665,0.0,0.0,0.0,0.0,0.0,-0.003750169027033587,
train,77,0,2,0.001,0.006200664728165193,0.006200664728165193,0.0,0.0,0.0,0.0,0.0,-0.005979991848255659,
train,78,0,2,0.001,-0.003288770411271862,-0.003288770411271862,0.0,0.0,0.0,0.0,0.0,-0.0010850678988580788,
train,79,0,2,0.001,0.0025712533604873473,0.0025712533604873473,0.0,0.0,0.0,0.0,0.0,-0.003944594672946043,
train,80,0,2,0.001,0.007039462454443754,0.007039462454443754,0.0,0.0,0.0,0.0,0.0,-0.006101786375565584,1.7258352041244507
train,81,0,2,0.001,-0.00023231326147567395,-0.00023231326147567395,0.0,0.0,0.0,0.0,0.0,-0.0032553572402617267,
train,82,0,2,0.001,0.011650636494968515,0.011650636494968515,0.0,0.0,0.0,0.0,0.0,-0.00978889509150217,
train,83,0,2,0.001,0.0021005614828534945,0.0021005614828534945,0.0,0.0,0.0,0.0,0.0,-0.005355770445190543,
train,84,0,2,0.001,0.006552100268214248,0.006552100268214248,0.0,0.0,0.0,0.0,0.0,-0.006598140513741,
train,85,0,2,0.001,0.0013094453132971254,0.0013094453132971254,0.0,0.0,0.0,0.0,0.0,-0.002469214123435492,1.7116479873657227
train,86,0,2,0.001,0.0019224546470701,0.0019224546470701,0.0,0.0,0.0,0.0,0.0,-0.004202516570817246,
train,87,0,2,0.001,0.005466164674523265,0.005466164674523265,0.0,0.0,0.0,0.0,0.0,-0.005412841156168386,
train,88,0,2,0.001,-0.002518892223232014,-0.002518892223232014,0.0,0.0,0.0,0.0,0.0,7.496599844375322e-05,
train,89,0,2,0.001,0.0019539282481229408,0.0019539282481229408,0.0,0.0,0.0,0.0,0.0,-0.0020227248639648043,
train,90,0,2,0.001,0.002783116779282018,0.002783116779282018,0.0,0.0,0.0,0.0,0.0,-0.005655821142068436,1.7120592594146729
train,91,0,2,0.001,0.0064087369381775,0.0064087369381775,0.0,0.0,0.0,0.0,0.0,-0.006931751912329779,
train,92,0,2,0.001,0.0004252472304912327,0.0004252472304912327,0.0,0.0,0.0,0.0,0.0,-0.005840106688569798,
train,93,0,2,0.001,0.004532523880994251,0.004532523880994251,0.0,0.0,0.0,0.0,0.0,-0.006578243581231597,
train,94,0,2,0.001,0.011408638014176558,0.011408638014176558,0.0,0.0,0.0,0.0,0.0,-0.00942209825125458,
train,95,0,2,0.001,0.0061769074094373475,0.0061769074094373475,0.0,0.0,0.0,0.0,0.0,-0.006163909035020097,1.7160297632217407
train,96,0,2,0.001,0.0057150841850332566,0.0057150841850332566,0.0,0.0,0.0,0.0,0.0,-0.004597015299855969,
train,97,0,2,0.001,0.005070575707873633,0.005070575707873633,0.0,0.0,0.0,0.0,0.0,-0.00707031968374585,
train,98,0,2,0.001,0.01091171162159637,0.01091171162159637,0.0,0.0,0.0,0.0,0.0,-0.008483225311867373,
train,99,0,2,0.001,-0.003626555921834742,-0.003626555921834742,0.0,0.0,0.0,0.0,0.0,-0.0011062197668781114,
train,100,0,2,0.001,0.0052175477179590354,0.0052175477179590354,0.0,0.0,0.0,0.0,0.0,-0.005750169815105754,1.7128348350524902
train,101,0,2,0.001,-0.009677721772256285,-0.009677721772256285,0.0,0.0,0.0,0.0,0.0,9.002075476441966e-05,
train,102,0,2,0.001,0.004894645159067803,0.004894645159067803,0.0,0.0,0.0,0.0,0.0,-0.004134043163165103,
