seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,0.1,64,0.001,6.486,1.645,0.005,0.012
2,1,0.1,64,0.001,6.819,1.704,0.005,0.013
1,1,10.0,64,0.001,0.33,1.03,0.0,0.011
0,1,0.001,64,0.001,2.524,1.247,0.002,0.012
0,1,0.1,64,0.001,0.196,1.013,0.0,0.008
2,1,0.001,64,0.001,2.264,1.201,0.002,0.011
0,1,1.0,64,0.001,1.368,1.141,0.001,0.013
1,1,1.0,64,0.001,1.418,1.16,0.001,0.014
0,1,10.0,64,0.001,1.156,1.144,0.001,0.015
1,1,0.001,64,0.001,1.873,1.154,0.001,0.01
2,1,10.0,64,0.001,0.732,1.089,0.001,0.015
4,1,0.001,64,0.001,2.948,1.228,0.002,0.009
2,1,1.0,64,0.001,0.812,1.098,0.001,0.015
3,1,0.1,64,0.001,5.055,1.445,0.003,0.011
3,1,0.001,64,0.001,2.302,1.169,0.001,0.009
3,1,1.0,64,0.001,0.587,1.071,0.001,0.015
3,1,10.0,64,0.001,1.627,1.086,0.001,0.006
4,1,0.1,64,0.001,-0.087,0.992,-0.0,0.012
4,1,1.0,64,0.001,3.349,1.319,0.002,0.012
4,1,10.0,64,0.001,-0.067,0.994,-0.0,0.011
5,1,0.1,64,0.001,1.524,1.157,0.001,0.013
5,1,1.0,64,0.001,-0.016,0.999,-0.0,0.009
5,1,0.001,64,0.001,1.756,1.179,0.001,0.012
5,1,10.0,64,0.001,0.039,1.003,0.0,0.009
6,1,0.001,64,0.001,7.187,1.756,0.006,0.013
6,1,0.1,64,0.001,5.735,1.556,0.004,0.012
6,1,1.0,64,0.001,0.586,1.071,0.001,0.015
7,1,0.001,64,0.001,2.925,1.228,0.002,0.01
6,1,10.0,64,0.001,-0.018,0.999,-0.0,0.009
7,1,0.1,64,0.001,6.071,1.571,0.004,0.011
7,1,1.0,64,0.001,1.874,1.15,0.001,0.01
8,1,0.001,64,0.001,0.691,1.045,0.0,0.008
7,1,10.0,64,0.001,0.321,1.029,0.0,0.011
8,1,0.1,64,0.001,2.803,1.253,0.002,0.011
8,1,1.0,64,0.001,0.861,1.104,0.001,0.015
8,1,10.0,64,0.001,1.554,1.16,0.001,0.013
9,1,0.001,64,0.001,2.54,1.217,0.002,0.01
9,1,0.1,64,0.001,3.264,1.253,0.002,0.009
9,1,1.0,64,0.001,-0.417,0.971,-0.0,0.008
9,1,10.0,64,0.001,1.327,1.164,0.001,0.015
