window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,0.001,64,0.001,4.5,5.1447,1.4554,0.0034000000000000002,0.010499999999999999
1,0.1,64,0.001,4.5,4.8003,1.4372,0.0034000000000000002,0.0111
1,1.0,64,0.001,4.5,3.3213999999999997,1.3198,0.0023,0.0111
1,10.0,64,0.001,4.5,1.4299000000000002,1.1438,0.0012000000000000001,0.0104
2,0.001,64,0.001,4.5,-0.31599999999999995,0.9658,-0.0002,0.011699999999999999
2,0.1,64,0.001,4.5,-0.7987,0.9181000000000001,-0.0004,0.0112
2,1.0,64,0.001,4.5,0.6136999999999999,1.0760999999999998,0.0007,0.0131
2,10.0,64,0.001,4.5,0.5096,1.0557,0.0004,0.0115
3,0.001,64,0.001,4.5,0.6356999999999999,1.0455999999999999,0.0004,0.0098
3,0.1,64,0.001,4.5,0.874,1.0451000000000001,0.0004,0.0083
3,1.0,64,0.001,4.5,-0.09690000000000001,0.9972999999999999,0.0001,0.0097
3,10.0,64,0.001,4.5,1.1401,1.1096,0.0008,0.011899999999999999
4,0.001,64,0.001,4.5,-0.5184,0.9349000000000001,-0.0005,0.0106
4,0.1,64,0.001,4.5,-0.5653,0.9388,-0.0006000000000000001,0.0112
4,1.0,64,0.001,4.5,-0.5321999999999999,0.9630000000000001,-0.0005,0.0118
4,10.0,64,0.001,4.5,0.7623,1.0817999999999999,0.0006000000000000001,0.012199999999999999
5,0.001,64,0.001,4.5,-0.4728,0.9488,-0.0005,0.011300000000000001
5,0.1,64,0.001,4.5,-0.28019999999999995,0.9722,-0.00030000000000000003,0.0112
5,1.0,64,0.001,4.5,-0.3275,0.9821,-0.0001,0.0103
5,10.0,64,0.001,4.5,1.0466,1.1111,0.0008,0.0126
10,0.001,64,0.001,4.5,0.261,1.0247,0.0001,0.0099
10,0.1,64,0.001,4.5,0.24420000000000003,1.0207000000000002,0.0,0.009600000000000001
10,1.0,64,0.001,4.5,0.6147,1.0583,0.0004,0.0106
10,10.0,64,0.001,4.5,0.8874000000000001,1.1027,0.0007,0.013000000000000001
15,0.001,64,0.001,4.5,0.6982999999999999,1.0518,0.0005,0.0093
15,0.1,64,0.001,4.5,0.7772,1.0573000000000001,0.0002,0.009
15,1.0,64,0.001,4.5,1.3419,1.1154,0.0007,0.0097
15,10.0,64,0.001,4.5,0.5730000000000001,1.0707,0.0005,0.012199999999999999
20,0.001,64,0.001,4.5,0.33849999999999997,1.0351,0.0,0.0124
20,0.1,64,0.001,4.5,0.2665,1.0297,0.0001,0.0116
20,1.0,64,0.001,4.5,0.9324999999999999,1.0996000000000001,0.0008,0.0121
20,10.0,64,0.001,4.5,0.7777999999999999,1.0893000000000002,0.0006000000000000001,0.0124
40,0.001,64,0.001,4.5,1.2877,1.1108,0.0008,0.0106
40,0.1,64,0.001,4.5,1.1275,1.0929,0.0007,0.01
40,1.0,64,0.001,4.5,1.3572000000000002,1.1038999999999999,0.0009000000000000001,0.0094
40,10.0,64,0.001,4.5,0.8237,1.0885,0.0006000000000000001,0.0121
60,0.001,64,0.001,4.5,2.2219,1.1724999999999999,0.0010999999999999998,0.010499999999999999
60,0.1,64,0.001,4.5,2.2304000000000004,1.1640000000000001,0.0010999999999999998,0.0093
60,1.0,64,0.001,4.5,1.1057000000000001,1.132,0.0009000000000000001,0.014299999999999998
60,10.0,64,0.001,4.5,0.7885,1.0833,0.0006000000000000001,0.011899999999999999
