seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,1,1.0,32,0.01,1.167,1.063,0.0,0.007
0,1,1.0,32,1e-06,1.681,1.091,0.001,0.007
0,1,1.0,32,0.001,4.871,1.487,0.004,0.012
0,1,1.0,32,1e-05,1.689,1.091,0.001,0.007
0,1,1.0,32,0.0001,1.728,1.094,0.001,0.007
0,1,1.0,64,0.0001,1.709,1.092,0.001,0.007
0,1,1.0,64,1e-05,1.721,1.093,0.001,0.007
0,1,1.0,64,0.001,1.864,1.145,0.001,0.01
0,1,1.0,64,0.01,3.216,1.301,0.002,0.011
0,1,1.0,64,1e-06,1.687,1.09,0.001,0.007
1,1,1.0,32,0.01,1.162,1.06,0.0,0.006
1,1,1.0,32,0.001,4.169,1.431,0.003,0.013
1,1,1.0,32,0.0001,1.701,1.091,0.001,0.007
0,1,1.0,128,0.01,1.286,1.066,0.001,0.006
1,1,1.0,32,1e-06,1.712,1.091,0.001,0.006
1,1,1.0,32,1e-05,1.7,1.091,0.001,0.007
0,1,1.0,128,0.001,2.021,1.193,0.001,0.012
0,1,1.0,128,0.0001,1.692,1.09,0.001,0.007
0,1,1.0,128,1e-06,1.74,1.094,0.001,0.007
0,1,1.0,128,1e-05,1.726,1.093,0.001,0.007
1,1,1.0,64,0.01,0.357,1.044,0.0,0.015
1,1,1.0,64,0.001,5.317,1.534,0.004,0.012
1,1,1.0,64,1e-05,1.725,1.093,0.001,0.007
1,1,1.0,64,0.0001,1.628,1.087,0.001,0.007
1,1,1.0,64,1e-06,1.724,1.093,0.001,0.007
1,1,1.0,128,0.0001,1.702,1.092,0.001,0.007
1,1,1.0,128,0.001,3.272,1.287,0.002,0.011
1,1,1.0,128,0.01,3.706,1.322,0.002,0.011
1,1,1.0,128,1e-05,1.716,1.092,0.001,0.007
1,1,1.0,128,1e-06,1.717,1.091,0.001,0.006
2,1,1.0,32,0.001,2.656,1.206,0.002,0.009
2,1,1.0,32,0.01,1.317,1.068,0.001,0.006
2,1,1.0,32,0.0001,1.72,1.092,0.001,0.007
2,1,1.0,32,1e-05,1.686,1.089,0.001,0.006
2,1,1.0,32,1e-06,1.683,1.089,0.001,0.006
2,1,1.0,64,0.01,1.835,1.113,0.001,0.008
2,1,1.0,64,0.001,2.867,1.264,0.002,0.011
2,1,1.0,64,1e-05,1.715,1.093,0.001,0.007
2,1,1.0,64,0.0001,1.697,1.091,0.001,0.007
2,1,1.0,64,1e-06,1.711,1.092,0.001,0.007
2,1,1.0,128,0.001,3.946,1.375,0.003,0.012
2,1,1.0,128,0.01,1.683,1.092,0.001,0.007
2,1,1.0,128,0.0001,1.692,1.091,0.001,0.007
3,1,1.0,32,0.01,1.036,1.084,0.001,0.01
3,1,1.0,32,0.001,1.841,1.142,0.001,0.009
2,1,1.0,128,1e-05,1.714,1.092,0.001,0.007
3,1,1.0,32,0.0001,1.736,1.093,0.001,0.007
3,1,1.0,32,1e-06,1.741,1.093,0.001,0.007
3,1,1.0,32,1e-05,1.759,1.095,0.001,0.007
2,1,1.0,128,1e-06,1.717,1.092,0.001,0.007
3,1,1.0,64,0.0001,1.795,1.098,0.001,0.007
3,1,1.0,64,0.01,6.061,1.599,0.005,0.012
3,1,1.0,64,0.001,0.245,1.015,0.0,0.008
3,1,1.0,64,1e-05,1.716,1.092,0.001,0.007
3,1,1.0,64,1e-06,1.717,1.092,0.001,0.007
3,1,1.0,128,0.01,1.685,1.154,0.001,0.011
3,1,1.0,128,0.001,2.985,1.245,0.002,0.01
3,1,1.0,128,0.0001,1.179,1.133,0.001,0.014
3,1,1.0,128,1e-05,1.726,1.093,0.001,0.007
3,1,1.0,128,1e-06,1.749,1.094,0.001,0.007
