phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
train,0,0,4,0.001,0.003974343251149335,0.003974343251149335,0.0,0.0,0.0,0.0,0.0,-0.004754399903022739,
train,1,0,4,0.001,0.002214253234235323,0.002214253234235323,0.0,0.0,0.0,0.0,0.0,-0.0056163165649837435,
train,2,0,4,0.001,0.008449629345491035,0.008449629345491035,0.0,0.0,0.0,0.0,0.0,-0.005151989280848819,
train,3,0,4,0.001,0.004771981703336625,0.004771981703336625,0.0,0.0,0.0,0.0,0.0,-0.004921878407271031,
train,4,0,4,0.001,0.009293317411314039,0.009293317411314039,0.0,0.0,0.0,0.0,0.0,-0.0071797065902501345,
train,5,0,4,0.001,0.006523815070228439,0.006523815070228439,0.0,0.0,0.0,0.0,0.0,-0.0054664869162747085,1.7202318906784058
train,6,0,4,0.001,0.011478655149831492,0.011478655149831492,0.0,0.0,0.0,0.0,0.0,-0.006468471509459264,
train,7,0,4,0.001,0.015031248618684271,0.015031248618684271,0.0,0.0,0.0,0.0,0.0,-0.009271681021132013,
train,8,0,4,0.001,0.011008564999107929,0.011008564999107929,0.0,0.0,0.0,0.0,0.0,-0.0057125639389542975,
train,9,0,4,0.001,0.010420427068739253,0.010420427068739253,0.0,0.0,0.0,0.0,0.0,-0.007945969296783647,
train,10,0,4,0.001,0.004536929663599414,0.004536929663599414,0.0,0.0,0.0,0.0,0.0,-0.0036790351047838,1.7178592681884766
train,11,0,4,0.001,0.008479630317785503,0.008479630317785503,0.0,0.0,0.0,0.0,0.0,-0.004613433800199453,
train,12,0,4,0.001,-0.0017084897879291983,-0.0017084897879291983,0.0,0.0,0.0,0.0,0.0,-0.003962310592589133,
train,13,0,4,0.001,0.002229581943110508,0.002229581943110508,0.0,0.0,0.0,0.0,0.0,-0.0065792278961881116,
train,14,0,4,0.001,0.007799676756429321,0.007799676756429321,0.0,0.0,0.0,0.0,0.0,-0.006267289326334482,
train,15,0,4,0.001,-0.0031535445544731747,-0.0031535445544731747,0.0,0.0,0.0,0.0,0.0,-0.004300888764726765,1.7255033254623413
train,16,0,4,0.001,0.004446356283391223,0.004446356283391223,0.0,0.0,0.0,0.0,0.0,-0.005894705598406932,
train,17,0,4,0.001,0.004752248963888954,0.004752248963888954,0.0,0.0,0.0,0.0,0.0,-0.0034818502471727483,
train,18,0,4,0.001,0.0031624121029916056,0.0031624121029916056,0.0,0.0,0.0,0.0,0.0,-0.006660388495006105,
train,19,0,4,0.001,0.008728150387897211,0.008728150387897211,0.0,0.0,0.0,0.0,0.0,-0.009368587785181315,
train,20,0,4,0.001,0.012082357185564059,0.012082357185564059,0.0,0.0,0.0,0.0,0.0,-0.008468255619792378,1.730750560760498
train,21,0,4,0.001,0.005354629059130435,0.005354629059130435,0.0,0.0,0.0,0.0,0.0,-0.005457635174560196,
train,22,0,4,0.001,0.01592127130510669,0.01592127130510669,0.0,0.0,0.0,0.0,0.0,-0.010326625341001679,
train,23,0,4,0.001,0.004542981123770861,0.004542981123770861,0.0,0.0,0.0,0.0,0.0,-0.002860182395499364,
train,24,0,4,0.001,0.01530659043997088,0.01530659043997088,0.0,0.0,0.0,0.0,0.0,-0.010365632509894888,
train,25,0,4,0.001,0.009986333016593777,0.009986333016593777,0.0,0.0,0.0,0.0,0.0,-0.008780220400213319,1.725888967514038
train,26,0,4,0.001,0.006417367624475018,0.006417367624475018,0.0,0.0,0.0,0.0,0.0,-0.00648104482987786,
train,27,0,4,0.001,-0.002164279802373665,-0.002164279802373665,0.0,0.0,0.0,0.0,0.0,-0.001556165105498889,
train,28,0,4,0.001,0.007896764082354768,0.007896764082354768,0.0,0.0,0.0,0.0,0.0,-0.0049261765225845225,
train,29,0,4,0.001,0.01345646511489416,0.01345646511489416,0.0,0.0,0.0,0.0,0.0,-0.010973817463416387,
train,30,0,4,0.001,-0.002670795232167139,-0.002670795232167139,0.0,0.0,0.0,0.0,0.0,-0.002665221910266315,1.7259293794631958
train,31,0,4,0.001,0.007009407385553727,0.007009407385553727,0.0,0.0,0.0,0.0,0.0,-0.00399061493226327,
train,32,0,4,0.001,0.018043911437202683,0.018043911437202683,0.0,0.0,0.0,0.0,0.0,-0.014667445143191692,
train,33,0,4,0.001,0.0023771074758020833,0.0023771074758020833,0.0,0.0,0.0,0.0,0.0,-0.003745378597694285,
train,34,0,4,0.001,0.007933114840210798,0.007933114840210798,0.0,0.0,0.0,0.0,0.0,-0.00542100823333706,
train,35,0,4,0.001,0.00731474187635767,0.00731474187635767,0.0,0.0,0.0,0.0,0.0,-0.0072785433628322444,1.7237353324890137
train,36,0,4,0.001,0.008389600716969547,0.008389600716969547,0.0,0.0,0.0,0.0,0.0,-0.007430694517953431,
train,37,0,4,0.001,0.0037715938353144072,0.0037715938353144072,0.0,0.0,0.0,0.0,0.0,-0.005378092392621671,
train,38,0,4,0.001,0.0016464882441248525,0.0016464882441248525,0.0,0.0,0.0,0.0,0.0,-0.003128001877271077,
train,39,0,4,0.001,0.0015248946900315145,0.0015248946900315145,0.0,0.0,0.0,0.0,0.0,-0.00573496037053273,
train,40,0,4,0.001,0.013997601112350821,0.013997601112350821,0.0,0.0,0.0,0.0,0.0,-0.011617031999562374,1.7311221361160278
train,41,0,4,0.001,0.010802704248549965,0.010802704248549965,0.0,0.0,0.0,0.0,0.0,-0.00910290831919102,
train,42,0,4,0.001,0.0071640808874850765,0.0071640808874850765,0.0,0.0,0.0,0.0,0.0,-0.006044741184108288,
train,43,0,4,0.001,0.006420062889125855,0.006420062889125855,0.0,0.0,0.0,0.0,0.0,-0.006849317674470299,
