seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,2,0.1,64,0.001,-0.02,0.998,-0.0,0.01
0,3,0.001,64,0.001,1.5,1.104,0.001,0.008
0,2,0.001,64,0.001,-1.45,0.848,-0.001,0.013
0,2,1.0,64,0.001,-0.016,0.999,-0.0,0.009
0,3,0.1,64,0.001,-1.936,0.819,-0.001,0.011
0,2,10.0,64,0.001,0.705,1.082,0.001,0.014
0,1,1.0,64,0.001,6.028,1.567,0.004,0.011
0,1,10.0,64,0.001,4.863,1.492,0.004,0.012
0,1,0.1,64,0.001,6.92,1.636,0.005,0.011
0,1,0.001,64,0.001,7.403,1.66,0.005,0.011
0,3,1.0,64,0.001,-0.488,0.967,-0.0,0.008
0,4,0.001,64,0.001,-1.208,0.881,-0.001,0.012
0,4,0.1,64,0.001,-1.156,0.884,-0.001,0.012
0,5,0.1,64,0.001,-0.921,0.909,-0.001,0.012
0,5,0.001,64,0.001,-1.013,0.9,-0.001,0.012
0,3,10.0,64,0.001,1.122,1.139,0.001,0.015
0,4,10.0,64,0.001,1.145,1.142,0.001,0.015
0,4,1.0,64,0.001,-2.086,0.801,-0.002,0.012
0,5,1.0,64,0.001,-0.416,0.957,-0.0,0.013
0,5,10.0,64,0.001,1.145,1.142,0.001,0.015
0,15,0.001,64,0.001,0.497,1.048,0.0,0.012
0,10,0.1,64,0.001,0.211,1.018,0.0,0.011
0,10,0.001,64,0.001,1.072,1.083,0.001,0.009
0,10,10.0,64,0.001,1.145,1.142,0.001,0.015
0,10,1.0,64,0.001,0.324,1.034,0.0,0.013
0,15,0.1,64,0.001,-0.136,0.988,-0.0,0.011
0,20,0.001,64,0.001,0.111,1.013,0.0,0.014
0,15,1.0,64,0.001,1.985,1.165,0.001,0.01
0,15,10.0,64,0.001,1.145,1.142,0.001,0.015
0,20,0.1,64,0.001,1.145,1.142,0.001,0.015
0,60,0.001,64,0.001,3.123,1.224,0.002,0.009
0,60,0.1,64,0.001,2.654,1.199,0.002,0.009
0,60,1.0,64,0.001,1.157,1.143,0.001,0.015
0,60,10.0,64,0.001,-0.015,0.999,-0.0,0.009
0,40,0.1,64,0.001,1.46,1.133,0.001,0.011
0,40,0.001,64,0.001,1.211,1.106,0.001,0.011
0,40,1.0,64,0.001,1.81,1.114,0.001,0.008
0,40,10.0,64,0.001,0.309,1.028,0.0,0.011
0,20,1.0,64,0.001,0.595,1.058,0.0,0.012
0,20,10.0,64,0.001,1.145,1.142,0.001,0.015
1,2,0.001,64,0.001,0.213,1.019,0.0,0.011
1,2,0.1,64,0.001,-1.435,0.851,-0.001,0.013
1,2,1.0,64,0.001,0.765,1.089,0.001,0.014
1,1,0.001,64,0.001,2.692,1.163,0.001,0.007
1,1,0.1,64,0.001,2.658,1.158,0.001,0.007
1,2,10.0,64,0.001,0.14,1.01,0.0,0.009
1,1,10.0,64,0.001,0.071,1.005,0.0,0.008
1,1,1.0,64,0.001,6.028,1.569,0.004,0.012
1,3,0.001,64,0.001,-0.934,0.904,-0.001,0.013
1,3,0.1,64,0.001,-1.521,0.863,-0.001,0.011
1,3,1.0,64,0.001,0.227,1.027,0.0,0.014
1,3,10.0,64,0.001,1.124,1.139,0.001,0.015
1,4,0.001,64,0.001,1.35,1.085,0.001,0.008
1,4,0.1,64,0.001,-1.717,0.831,-0.001,0.012
1,4,1.0,64,0.001,1.145,1.142,0.001,0.015
1,5,0.001,64,0.001,1.415,1.092,0.001,0.008
1,4,10.0,64,0.001,1.145,1.142,0.001,0.015
1,5,0.1,64,0.001,2.119,1.184,0.001,0.011
1,5,1.0,64,0.001,-1.738,0.895,-0.001,0.007
1,5,10.0,64,0.001,1.145,1.142,0.001,0.015
1,10,0.001,64,0.001,-0.069,0.996,-0.0,0.007
1,10,0.1,64,0.001,0.145,1.01,0.0,0.008
1,10,1.0,64,0.001,1.7,1.163,0.001,0.012
1,15,0.001,64,0.001,1.047,1.066,0.001,0.008
1,15,1.0,64,0.001,0.133,1.008,0.0,0.007
1,15,0.1,64,0.001,1.012,1.063,0.0,0.008
1,20,0.001,64,0.001,0.295,1.03,0.0,0.012
1,10,10.0,64,0.001,1.065,1.133,0.001,0.015
1,15,10.0,64,0.001,1.066,1.133,0.001,0.015
1,20,0.1,64,0.001,-0.002,1.0,-0.0,0.011
1,60,0.001,64,0.001,1.21,1.149,0.001,0.015
1,60,0.1,64,0.001,2.128,1.158,0.001,0.009
1,60,10.0,64,0.001,0.308,1.028,0.0,0.011
1,40,0.001,64,0.001,1.801,1.152,0.001,0.01
1,60,1.0,64,0.001,0.723,1.045,0.0,0.008
1,40,0.1,64,0.001,0.79,1.061,0.0,0.01
1,40,1.0,64,0.001,0.724,1.045,0.0,0.008
1,40,10.0,64,0.001,1.141,1.142,0.001,0.015
1,20,1.0,64,0.001,0.813,1.088,0.001,0.013
1,20,10.0,64,0.001,1.065,1.133,0.001,0.015
2,2,0.001,64,0.001,-1.97,0.812,-0.001,0.012
2,1,0.001,64,0.001,4.796,1.482,0.004,0.012
2,2,0.1,64,0.001,-1.901,0.814,-0.001,0.012
2,2,1.0,64,0.001,0.731,1.089,0.001,0.015
2,1,1.0,64,0.001,7.552,1.68,0.005,0.011
2,1,0.1,64,0.001,5.769,1.599,0.005,0.013
