seed,window_size,lam,sharpe,cumret,meanret,stdret
0,1,0.0005,4.401,1.432,0.003,0.012
0,1,0.0001,4.643,1.452,0.003,0.012
0,1,0.001,4.362,1.43,0.003,0.012
0,1,0.005,2.724,1.218,0.002,0.01
0,2,0.0001,0.94,1.062,0.0,0.008
0,2,0.0005,4.102,1.434,0.003,0.013
0,1,0.01,1.744,1.094,0.001,0.007
0,1,0.05,1.736,1.093,0.001,0.007
0,2,0.01,1.724,1.092,0.001,0.007
0,2,0.001,3.486,1.326,0.003,0.011
0,2,0.05,1.722,1.092,0.001,0.007
0,2,0.005,1.728,1.093,0.001,0.007
0,3,0.0001,1.145,1.142,0.001,0.015
0,3,0.001,1.145,1.142,0.001,0.015
0,3,0.0005,1.145,1.142,0.001,0.015
0,3,0.005,1.719,1.092,0.001,0.007
0,3,0.01,1.727,1.093,0.001,0.007
0,3,0.05,1.729,1.093,0.001,0.007
1,1,0.0001,4.229,1.419,0.003,0.012
1,1,0.0005,4.624,1.449,0.003,0.012
1,1,0.001,4.525,1.442,0.003,0.012
1,1,0.005,3.065,1.253,0.002,0.01
1,1,0.01,1.727,1.093,0.001,0.007
1,1,0.05,1.73,1.093,0.001,0.007
1,2,0.0001,3.732,1.411,0.003,0.013
1,2,0.0005,2.55,1.288,0.002,0.014
1,2,0.001,2.019,1.228,0.002,0.014
1,2,0.005,1.733,1.093,0.001,0.007
1,2,0.01,1.727,1.093,0.001,0.007
1,2,0.05,1.717,1.092,0.001,0.007
1,3,0.0001,1.145,1.142,0.001,0.015
1,3,0.0005,1.145,1.142,0.001,0.015
1,3,0.001,1.665,1.092,0.001,0.007
1,3,0.005,1.727,1.093,0.001,0.007
1,3,0.01,1.722,1.092,0.001,0.007
1,3,0.05,1.718,1.092,0.001,0.007
2,1,0.0001,5.337,1.504,0.004,0.012
2,1,0.0005,7.073,1.631,0.005,0.011
2,1,0.001,4.797,1.462,0.004,0.012
2,1,0.005,4.78,1.396,0.003,0.01
2,1,0.01,1.708,1.091,0.001,0.007
2,1,0.05,1.726,1.092,0.001,0.007
2,2,0.0001,4.493,1.436,0.003,0.012
2,2,0.0005,3.109,1.31,0.002,0.012
2,2,0.001,2.927,1.293,0.002,0.012
2,2,0.005,1.711,1.092,0.001,0.007
2,2,0.01,1.729,1.093,0.001,0.007
2,2,0.05,1.729,1.093,0.001,0.007
