phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,0,0,1,10.0,-14.632761581271302,0.0,0.0,-14.426101048787435,-0.206660549576376,0.0,0.0,-0.0817389780011795,
warmup_kf,1,0,1,10.0,-15.037996759601668,0.0,0.0,-14.52783924925561,-0.5101574273670421,0.0,0.0,-0.0817389702082009,
warmup_kf,2,0,1,10.0,-15.572020231508741,0.0,0.0,-14.627332444284477,-0.944687729957057,0.0,0.0,-0.0817389808750401,
warmup_kf,3,0,1,10.0,-16.3314151763916,0.0,0.0,-14.72480448554544,-1.6066105926738066,0.0,0.0,-0.08173898255963828,
warmup_kf,4,0,1,10.0,-17.409407409967162,0.0,0.0,-14.820269304163316,-2.5891381385279635,0.0,0.0,-0.081738983522918,
warmup_kf,5,0,1,10.0,-18.9031608431947,0.0,0.0,-14.913699692370844,-3.989461244321337,0.0,0.0,-0.08173898497925085,
warmup_kf,6,0,1,10.0,-20.922076206581266,0.0,0.0,-15.005056792614507,-5.917019385917514,0.0,0.0,-0.08173897872021531,
warmup_kf,7,0,1,10.0,-23.550190757302676,0.0,0.0,-15.094298549726897,-8.455892142127542,0.0,0.0,-0.08173898065134007,
warmup_kf,8,0,1,10.0,-26.262977450501683,0.0,0.0,-15.18138567606608,-11.0815917931351,0.0,0.0,-0.08173899161720685,
warmup_kf,9,0,1,10.0,-28.236577052696077,0.0,0.0,-15.266281595417098,-12.970295326382507,0.0,0.0,-0.08173897717714164,
warmup_kf,10,0,1,10.0,-29.57941878075693,0.0,0.0,-15.348951919406067,-14.230466805252375,0.0,0.0,-0.08173897919728987,
warmup_kf,11,0,1,10.0,-30.55314000447591,0.0,0.0,-15.429368393093933,-15.123771648780972,0.0,0.0,-0.08173899120632924,
warmup_kf,12,0,1,10.0,-31.306689767276538,0.0,0.0,-15.507508240494074,-15.799181564181458,0.0,0.0,-0.0817389951484716,
warmup_kf,13,0,1,10.0,-31.91967425626867,0.0,0.0,-15.58335371578441,-16.336320521784764,0.0,0.0,-0.08173899018826584,
warmup_kf,14,0,1,10.0,-32.434285668765796,0.0,0.0,-15.656891916312423,-16.777394051645317,0.0,0.0,-0.08173899418747455,
warmup_kf,15,0,1,10.0,-32.87566828260235,0.0,0.0,-15.728120111951641,-17.147548077153225,0.0,0.0,-0.0817390077053478,
warmup_kf,16,0,1,10.0,-33.26012936760397,0.0,0.0,-15.797039518169328,-17.46308977463666,0.0,0.0,-0.08173901283675257,
warmup_kf,17,0,1,10.0,-33.598968505859375,0.0,0.0,-15.86365847494088,-17.735310236612957,0.0,0.0,-0.08173901764402057,
warmup_kf,18,0,1,10.0,-33.90038845585842,0.0,0.0,-15.927991324780034,-17.972396925383922,0.0,0.0,-0.08173902304249578,
warmup_kf,19,0,1,10.0,-34.17053880878523,0.0,0.0,-15.9900582818424,-18.180480657839308,0.0,0.0,-0.08173902826748934,
warmup_kf,20,0,1,10.0,-34.414172976624734,0.0,0.0,-16.049887657165527,-18.364285225961723,0.0,0.0,-0.0817390347410943,
warmup_kf,21,0,1,10.0,-34.635061376235065,0.0,0.0,-16.107510454514447,-18.527551090016086,0.0,0.0,-0.08173904113252373,
warmup_kf,22,0,1,10.0,-34.83602202172373,0.0,0.0,-16.162963324902105,-18.673058528526155,0.0,0.0,-0.08173904726373069,
warmup_kf,23,0,1,10.0,-35.01993837543562,0.0,0.0,-16.21628697713216,-18.80365192188936,0.0,0.0,-0.08173905423951938,
warmup_kf,24,0,1,10.0,-35.18861568675322,0.0,0.0,-16.267527281069288,-18.921088536580402,0.0,0.0,-0.08173906178140611,
warmup_kf,25,0,1,10.0,-35.343850229300706,0.0,0.0,-16.31673257491168,-19.027117747886507,0.0,0.0,-0.08173906952873164,
warmup_kf,26,0,1,10.0,-35.4871296602137,0.0,0.0,-16.36395003748875,-19.123179417030485,0.0,0.0,-0.08173907760019396,
warmup_kf,27,0,1,10.0,-35.61974185120825,0.0,0.0,-16.409232550976323,-19.210509356330423,0.0,0.0,-0.0817390863062339,
warmup_kf,28,0,1,10.0,-35.74280278822955,0.0,0.0,-16.452633782929066,-19.29016887440401,0.0,0.0,-0.08173908494348985,
warmup_kf,29,0,1,10.0,-35.857287014231964,0.0,0.0,-16.494207045611212,-19.363079519832837,0.0,0.0,-0.08173910461767923,
warmup_kf,30,0,1,10.0,-35.96404902140299,0.0,0.0,-16.53400832531499,-19.430040808284986,0.0,0.0,-0.08173910421136693,
warmup_kf,31,0,1,10.0,-36.06422910503313,0.0,0.0,-16.572091532688514,-19.492137385349647,0.0,0.0,-0.0817391137391621,
warmup_kf,32,0,1,10.0,-36.157317068062575,0.0,0.0,-16.60850954990761,-19.548807293761012,0.0,0.0,-0.08173912360022466,
warmup_kf,33,0,1,10.0,-36.245174333160996,0.0,0.0,-16.643317484388163,-19.601856904871322,0.0,0.0,-0.08173913394977503,
warmup_kf,34,0,1,10.0,-36.32779095219631,0.0,0.0,-16.676568891487868,-19.65122215420592,0.0,0.0,-0.08173914330408853,
warmup_kf,35,0,1,10.0,-36.40572043026195,0.0,0.0,-16.708316241993625,-19.69740373948041,0.0,0.0,-0.08173915535193302,
warmup_kf,36,0,1,10.0,-36.47937819536995,0.0,0.0,-16.738612474179735,-19.740765665091722,0.0,0.0,-0.08173916627671204,
warmup_kf,37,0,1,10.0,-36.54914631563074,0.0,0.0,-16.76750975964116,-19.781636481191597,0.0,0.0,-0.0817391677376102,
warmup_kf,38,0,1,10.0,-36.615369235768036,0.0,0.0,-16.795060643962785,-19.820308460908777,0.0,0.0,-0.08173917957545057,
warmup_kf,39,0,1,10.0,-36.678355198280485,0.0,0.0,-16.82131456861309,-19.857040779263365,0.0,0.0,-0.08173919089741129,
warmup_kf,40,0,1,10.0,-36.738387089149626,0.0,0.0,-16.846323798684512,-19.892063477460077,0.0,0.0,-0.0817392021212179,
warmup_kf,41,0,1,10.0,-36.795720044304346,0.0,0.0,-16.870138878915824,-19.92558146458046,0.0,0.0,-0.08173921368970517,
warmup_kf,42,0,1,10.0,-36.850580028459134,0.0,0.0,-16.89280840929817,-19.95777141346651,0.0,0.0,-0.08173922548417513,
warmup_kf,43,0,1,10.0,-36.903183058196426,0.0,0.0,-16.914382036994486,-19.98880105860093,0.0,0.0,-0.08173923171125352,
warmup_kf,44,0,1,10.0,-36.95371530570236,0.0,0.0,-16.934909951453115,-20.018805335549747,0.0,0.0,-0.08173924375909801,
warmup_kf,45,0,1,10.0,-37.002358754475914,0.0,0.0,-16.95444138844808,-20.047917459525316,0.0,0.0,-0.08173925544171795,
warmup_kf,46,0,1,10.0,-37.04927354700425,0.0,0.0,-16.973022797528436,-20.076250749475815,0.0,0.0,-0.08173926769500124,
warmup_kf,47,0,1,10.0,-37.09460643693512,0.0,0.0,-16.99070384455662,-20.103902180989582,0.0,0.0,-0.08173927496296957,
warmup_kf,48,0,1,10.0,-37.13849415498621,0.0,0.0,-17.00753215714997,-20.130962147432214,0.0,0.0,-0.08173928631460477,
warmup_kf,49,0,1,10.0,-37.18106101540958,0.0,0.0,-17.02355349297617,-20.157507466334923,0.0,0.0,-0.08173929930290244,
warmup_kf,50,0,1,10.0,-37.22242908851773,0.0,0.0,-17.038815068263634,-20.183613945456113,0.0,0.0,-0.081739306016186,
warmup_kf,51,0,1,10.0,-37.26269665886374,0.0,0.0,-17.053360957725374,-20.209335888133328,0.0,0.0,-0.08173931734499466,
warmup_kf,52,0,1,10.0,-37.30195789711148,0.0,0.0,-17.067235628763836,-20.234722436643114,0.0,0.0,-0.08173932909381156,
warmup_kf,53,0,1,10.0,-37.340319390390434,0.0,0.0,-17.08048152923584,-20.25983765546013,0.0,0.0,-0.08173932736356031,
warmup_kf,54,0,1,10.0,-37.377843894210514,0.0,0.0,-17.093140602111816,-20.28470334819719,0.0,0.0,-0.08173934835027538,
warmup_kf,55,0,1,10.0,-37.414625803629555,0.0,0.0,-17.105253088708018,-20.30937280841902,0.0,0.0,-0.08173936072682195,
warmup_kf,56,0,1,10.0,-37.45072009516697,0.0,0.0,-17.116856014027316,-20.33386391284419,0.0,0.0,-0.08173935911983397,
warmup_kf,57,0,1,10.0,-37.4861993228688,0.0,0.0,-17.127987001456468,-20.358212489707796,0.0,0.0,-0.08173938127070227,
warmup_kf,58,0,1,10.0,-37.52112220315372,0.0,0.0,-17.138679897083957,-20.382442137774298,0.0,0.0,-0.08173939408780094,
warmup_kf,59,0,1,10.0,-37.55552890254002,0.0,0.0,-17.148967668121937,-20.406561084822112,0.0,0.0,-0.08173940191501934,
warmup_kf,60,0,1,10.0,-37.589483448103366,0.0,0.0,-17.158880981744506,-20.430602279363892,0.0,0.0,-0.08173941930199005,
warmup_kf,61,0,1,10.0,-37.62301905014936,0.0,0.0,-17.16844928965849,-20.45456991008684,0.0,0.0,-0.08173942811074941,
warmup_kf,62,0,1,10.0,-37.65617340686274,0.0,0.0,-17.177698041878493,-20.478475421082738,0.0,0.0,-0.08173943647439134,
warmup_kf,63,0,1,10.0,-37.68898496440813,0.0,0.0,-17.18665313720703,-20.502331789802103,0.0,0.0,-0.08173944967041048,
warmup_kf,64,0,1,10.0,-37.72148027607039,0.0,0.0,-17.195335799572515,-20.526144476497876,0.0,0.0,-0.08173946633378007,
warmup_kf,65,0,1,10.0,-37.75368903664982,0.0,0.0,-17.20376766429228,-20.54992129755955,0.0,0.0,-0.0817394742865444,
warmup_kf,66,0,1,10.0,-37.78563585468367,0.0,0.0,-17.21196844063553,-20.57366718965418,0.0,0.0,-0.08173948729766861,
warmup_kf,67,0,1,10.0,-37.81734481512331,0.0,0.0,-17.21995507034601,-20.59738952038335,0.0,0.0,-0.08173949988650195,
warmup_kf,68,0,1,10.0,-37.84873708089193,0.0,0.0,-17.22774361629112,-20.620993632896273,0.0,0.0,-0.08173950788720201,
warmup_kf,69,0,1,10.0,-37.87975610471239,0.0,0.0,-17.235347841300218,-20.64440809511671,0.0,0.0,-0.08173951993276383,
warmup_kf,70,0,1,10.0,-37.91065889246323,0.0,0.0,-17.24278111551322,-20.667877833048504,0.0,0.0,-0.08173953212669813,
warmup_kf,71,0,1,10.0,-37.94110301896637,0.0,0.0,-17.250054826923446,-20.69104793024998,0.0,0.0,-0.08173953965945426,
warmup_kf,72,0,1,10.0,-37.97112786536123,0.0,0.0,-17.257180232627718,-20.713947632733515,0.0,0.0,-0.08173955147218544,
warmup_kf,73,0,1,10.0,-38.00084783516678,0.0,0.0,-17.264166663674747,-20.736681171492034,0.0,0.0,-0.08173956369122892,
warmup_kf,74,0,1,10.0,-38.03030238432043,0.0,0.0,-17.271021842956543,-20.759280335669423,0.0,0.0,-0.08173957636223778,
warmup_kf,75,0,1,10.0,-38.059456021178,0.0,0.0,-17.277753661660586,-20.781701966827992,0.0,0.0,-0.0817395836644459,
warmup_kf,76,0,1,10.0,-38.08837434357288,0.0,0.0,-17.284369524787454,-20.804004856184417,0.0,0.0,-0.0817395957305516,
warmup_kf,77,0,1,10.0,-38.117071488324335,0.0,0.0,-17.29087479909261,-20.82619685752719,0.0,0.0,-0.08173960798611755,
warmup_kf,78,0,1,10.0,-38.14555224250345,0.0,0.0,-17.29727565540987,-20.848276774088543,0.0,0.0,-0.08173961411504184,
