date,MSFT,JPM,JNJ,XOM,PG
2023-10-02,0.23697856,0.17963883,0.20880514,0.16041335,0.21416408
2023-10-03,0.22423947,0.20576596,0.18132435,0.18193938,0.20673086
2023-10-04,0.20746598,0.22237816,0.16678242,0.21159306,0.19178036
2023-10-05,0.19028088,0.23375206,0.15495841,0.24315314,0.17785554
2023-10-06,0.18752447,0.23622037,0.15296125,0.24935319,0.17394069
2023-10-09,0.18662596,0.23439787,0.15456048,0.25042135,0.17399436
2023-10-10,0.18480462,0.23312001,0.15550411,0.25292537,0.17364594
2023-10-11,0.18488421,0.23058839,0.15782006,0.25189254,0.17481481
2023-10-12,0.18465002,0.22907087,0.15916072,0.25156024,0.17555813
2023-10-13,0.18393038,0.22742909,0.16051492,0.25170052,0.17642505
2023-10-16,0.17304578,0.23244418,0.15357257,0.27115953,0.16977799
2023-10-17,0.18131486,0.22558288,0.16320811,0.25470012,0.17519398
2023-10-18,0.18677498,0.21944812,0.17073341,0.24224730,0.18079616
2023-10-19,0.19428088,0.21110120,0.18081513,0.22523415,0.18856868
2023-10-20,0.19716215,0.20743802,0.18466803,0.21726826,0.19346346
2023-10-23,0.19933276,0.20536754,0.18684001,0.21161151,0.19684824
2023-10-24,0.20221715,0.20263819,0.18964605,0.20512596,0.20037264
2023-10-25,0.20430975,0.20123856,0.19107690,0.20077664,0.20259820
2023-10-26,0.20635638,0.19954170,0.19272999,0.19619960,0.20517240
2023-10-27,0.20638141,0.19951399,0.19188471,0.19545545,0.20676447
2023-10-30,0.20670576,0.19908559,0.19160451,0.19412817,0.20847596
2023-10-31,0.20640725,0.19973136,0.19045605,0.19455762,0.20884775
2023-11-01,0.20577446,0.20047027,0.18932036,0.19596945,0.20846552
2023-11-02,0.20577022,0.20087285,0.18885672,0.19638871,0.20811149
2023-11-03,0.20736124,0.19899568,0.19095185,0.19344494,0.20924629
2023-11-06,0.20877899,0.19736014,0.19298570,0.19092672,0.20994845
2023-11-07,0.21019013,0.19540553,0.19524316,0.18821330,0.21094790
2023-11-08,0.21130978,0.19379286,0.19715926,0.18594462,0.21179357
