date,MSFT,JPM,JNJ,XOM,PG
2023-10-02,0.14694628,0.20652419,0.17203179,0.23428652,0.24021116
2023-10-03,0.12623373,0.20938486,0.15513213,0.33293077,0.17631856
2023-10-04,0.13017072,0.21213514,0.15142083,0.33040020,0.17587307
2023-10-05,0.13346177,0.21520872,0.14760105,0.33049604,0.17323247
2023-10-06,0.13024107,0.20700336,0.14805722,0.33557042,0.17912790
2023-10-09,0.12705597,0.20089905,0.14876133,0.34321919,0.18006448
2023-10-10,0.12222667,0.19367740,0.14974725,0.35217696,0.18217167
2023-10-11,0.12334970,0.19366835,0.15154132,0.34541437,0.18602623
2023-10-12,0.12437338,0.19325128,0.15284041,0.34091792,0.18861708
2023-10-13,0.12854418,0.19312792,0.15425758,0.33111522,0.19295511
2023-10-16,0.06012075,0.10937161,0.14250138,0.57284993,0.11515631
2023-10-17,0.14636603,0.18613639,0.15806259,0.30221295,0.20722210
2023-10-18,0.18191293,0.19943665,0.15356410,0.23161709,0.23346919
2023-10-19,0.20185271,0.19649659,0.15217459,0.20449644,0.24497966
2023-10-20,0.20473565,0.19336396,0.15287535,0.20433088,0.24469414
2023-10-23,0.20672199,0.19087307,0.15334199,0.20393936,0.24512361
2023-10-24,0.20639591,0.18868469,0.15404640,0.20537853,0.24549447
2023-10-25,0.20426953,0.18726812,0.15429443,0.21056670,0.24360120
2023-10-26,0.20312135,0.18554834,0.15475003,0.21427213,0.24230821
2023-10-27,0.18979158,0.18337254,0.15745527,0.23379003,0.23559061
2023-10-30,0.17905442,0.18106593,0.15930703,0.25059742,0.22997518
2023-10-31,0.17104577,0.17943844,0.16025363,0.26391250,0.22534965
2023-11-01,0.16323981,0.17848401,0.16098019,0.27657101,0.22072501
2023-11-02,0.16046456,0.17822738,0.16101220,0.28139263,0.21890318
2023-11-03,0.16203570,0.17852661,0.16111928,0.27780032,0.22051814
2023-11-06,0.16682109,0.17948604,0.16080007,0.26892468,0.22396806
2023-11-07,0.17032319,0.18012829,0.16071554,0.26209930,0.22673371
2023-11-08,0.17450954,0.18067056,0.16053472,0.25457752,0.22970761
2023-11-09,0.17832053,0.18118942,0.16036077,0.24740294,0.23272629
