seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,0.1,64,0.001,1.153,1.141,0.001,0.015
0,1,0.001,64,0.001,1.19,1.138,0.001,0.014
1,1,1.0,64,0.001,1.724,1.108,0.001,0.008
1,1,10.0,64,0.001,0.92,1.053,0.0,0.007
1,1,0.001,64,0.001,1.145,1.142,0.001,0.015
2,1,0.1,64,0.001,1.151,1.142,0.001,0.015
0,1,0.1,64,0.001,1.206,1.136,0.001,0.014
0,1,1.0,64,0.001,0.882,1.089,0.001,0.012
2,1,0.001,64,0.001,1.149,1.142,0.001,0.015
0,1,10.0,64,0.001,1.699,1.091,0.001,0.007
2,1,10.0,64,0.001,0.797,1.047,0.0,0.007
3,1,0.001,64,0.001,1.145,1.142,0.001,0.015
2,1,1.0,64,0.001,0.224,1.025,0.0,0.014
3,1,10.0,64,0.001,1.342,1.069,0.001,0.006
4,1,0.001,64,0.001,1.145,1.142,0.001,0.015
3,1,1.0,64,0.001,0.302,1.033,0.0,0.013
3,1,0.1,64,0.001,0.786,1.092,0.001,0.014
4,1,0.1,64,0.001,1.145,1.142,0.001,0.015
4,1,1.0,64,0.001,-0.541,0.956,-0.0,0.01
4,1,10.0,64,0.001,1.493,1.096,0.001,0.008
5,1,0.001,64,0.001,1.199,1.137,0.001,0.014
5,1,0.1,64,0.001,1.231,1.134,0.001,0.013
5,1,10.0,64,0.001,1.431,1.08,0.001,0.007
5,1,1.0,64,0.001,1.724,1.104,0.001,0.007
6,1,0.001,64,0.001,1.125,1.139,0.001,0.015
6,1,0.1,64,0.001,1.145,1.142,0.001,0.015
6,1,1.0,64,0.001,1.11,1.137,0.001,0.015
6,1,10.0,64,0.001,1.77,1.14,0.001,0.01
7,1,0.001,64,0.001,1.006,1.122,0.001,0.015
7,1,0.1,64,0.001,1.056,1.126,0.001,0.015
7,1,1.0,64,0.001,0.214,1.023,0.0,0.013
7,1,10.0,64,0.001,1.445,1.084,0.001,0.007
8,1,1.0,64,0.001,1.692,1.103,0.001,0.007
8,1,0.1,64,0.001,1.145,1.142,0.001,0.015
8,1,0.001,64,0.001,1.145,1.142,0.001,0.015
8,1,10.0,64,0.001,1.762,1.118,0.001,0.008
9,1,0.001,64,0.001,1.145,1.142,0.001,0.015
9,1,1.0,64,0.001,2.69,1.294,0.002,0.013
9,1,0.1,64,0.001,1.145,1.142,0.001,0.015
9,1,10.0,64,0.001,1.849,1.124,0.001,0.008
