seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,0.1,64,0.001,2.658,1.158,0.001,0.007
0,1,0.001,64,0.001,7.403,1.66,0.005,0.011
2,1,0.001,64,0.001,4.796,1.482,0.004,0.012
1,1,10.0,64,0.001,0.071,1.005,0.0,0.008
0,1,10.0,64,0.001,4.863,1.492,0.004,0.012
1,1,0.001,64,0.001,2.692,1.163,0.001,0.007
2,1,0.1,64,0.001,5.769,1.599,0.005,0.013
1,1,1.0,64,0.001,6.028,1.569,0.004,0.012
0,1,0.1,64,0.001,6.92,1.636,0.005,0.011
0,1,1.0,64,0.001,6.028,1.567,0.004,0.011
2,1,1.0,64,0.001,7.552,1.68,0.005,0.011
2,1,10.0,64,0.001,2.031,1.201,0.002,0.012
3,1,0.001,64,0.001,7.561,1.671,0.005,0.011
3,1,1.0,64,0.001,-0.334,0.977,-0.0,0.009
3,1,10.0,64,0.001,1.374,1.136,0.001,0.012
3,1,0.1,64,0.001,4.57,1.457,0.004,0.012
4,1,0.1,64,0.001,7.236,1.648,0.005,0.011
4,1,0.001,64,0.001,7.237,1.652,0.005,0.011
4,1,1.0,64,0.001,2.098,1.164,0.001,0.01
4,1,10.0,64,0.001,0.766,1.065,0.001,0.01
5,1,0.001,64,0.001,2.989,1.28,0.002,0.011
5,1,0.1,64,0.001,3.349,1.31,0.002,0.011
6,1,0.001,64,0.001,5.316,1.517,0.004,0.012
5,1,1.0,64,0.001,3.79,1.343,0.003,0.011
6,1,0.1,64,0.001,4.759,1.468,0.004,0.012
5,1,10.0,64,0.001,0.015,1.001,0.0,0.009
6,1,1.0,64,0.001,2.689,1.283,0.002,0.013
6,1,10.0,64,0.001,-0.006,1.0,-0.0,0.008
7,1,0.001,64,0.001,3.025,1.28,0.002,0.011
7,1,0.1,64,0.001,1.511,1.181,0.001,0.015
7,1,1.0,64,0.001,-1.294,0.915,-0.001,0.008
7,1,10.0,64,0.001,-0.011,0.999,-0.0,0.008
8,1,0.001,64,0.001,2.889,1.179,0.001,0.008
8,1,1.0,64,0.001,2.647,1.283,0.002,0.013
8,1,10.0,64,0.001,1.129,1.115,0.001,0.012
8,1,0.1,64,0.001,4.112,1.261,0.002,0.008
9,1,0.001,64,0.001,7.539,1.67,0.005,0.011
9,1,0.1,64,0.001,7.119,1.654,0.005,0.011
9,1,1.0,64,0.001,4.01,1.417,0.003,0.013
9,1,10.0,64,0.001,4.067,1.424,0.003,0.013
