phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,0,0,1,0.001,-14.863507289512485,0.0,0.0,-14.863507289512485,0.0,0.0,0.0,111.13351814419616,
warmup_kf,1,0,1,0.001,-15.708333258535347,0.0,0.0,-15.708333258535347,0.0,0.0,0.0,117.76738798852061,
warmup_kf,2,0,1,0.001,-16.312455252105114,0.0,0.0,-16.312455252105114,0.0,0.0,0.0,123.20546363381779,
warmup_kf,3,0,1,0.001,-16.70603037815468,0.0,0.0,-16.70603037815468,0.0,0.0,0.0,127.25802178476371,
warmup_kf,4,0,1,0.001,-16.947038183025285,0.0,0.0,-16.947038183025285,0.0,0.0,0.0,130.0767941942402,
warmup_kf,5,0,1,0.001,-17.089565464094573,0.0,0.0,-17.089565464094573,0.0,0.0,0.0,131.97255886302275,
warmup_kf,6,0,1,0.001,-17.178175627016554,0.0,0.0,-17.178175627016554,0.0,0.0,0.0,133.25145257688035,
warmup_kf,7,0,1,0.001,-17.24214864244648,0.0,0.0,-17.24214864244648,0.0,0.0,0.0,134.17868745093253,
warmup_kf,8,0,1,0.001,-17.294838475246056,0.0,0.0,-17.294838475246056,0.0,0.0,0.0,134.94334920247397,
warmup_kf,9,0,1,0.001,-17.340660618800744,0.0,0.0,-17.340660618800744,0.0,0.0,0.0,135.63778282614317,
warmup_kf,10,0,1,0.001,-17.3810198914771,0.0,0.0,-17.3810198914771,0.0,0.0,0.0,136.3130979350969,
warmup_kf,11,0,1,0.001,-17.416634073444442,0.0,0.0,-17.416634073444442,0.0,0.0,0.0,136.97461057176778,
warmup_kf,12,0,1,0.001,-17.448093376907647,0.0,0.0,-17.448093376907647,0.0,0.0,0.0,137.6278752345665,
warmup_kf,13,0,1,0.001,-17.47593829211067,0.0,0.0,-17.47593829211067,0.0,0.0,0.0,138.26772143794042,
warmup_kf,14,0,1,0.001,-17.5006586710612,0.0,0.0,-17.5006586710612,0.0,0.0,0.0,138.89351743810317,
warmup_kf,15,0,1,0.001,-17.52268342410817,0.0,0.0,-17.52268342410817,0.0,0.0,0.0,139.50249301686006,
