seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
2,1,0.001,64,0.001,1.145,1.142,0.001,0.015
1,1,0.001,64,0.001,0.751,1.039,0.0,0.006
1,1,0.1,64,0.001,0.738,1.054,0.0,0.009
1,1,10.0,64,0.001,1.065,1.133,0.001,0.015
1,1,1.0,64,0.001,1.145,1.142,0.001,0.015
0,1,0.001,64,0.001,1.006,1.065,0.0,0.008
0,1,0.1,64,0.001,1.14,1.141,0.001,0.015
2,1,0.1,64,0.001,1.138,1.141,0.001,0.015
0,1,10.0,64,0.001,1.549,1.159,0.001,0.013
0,1,1.0,64,0.001,1.549,1.159,0.001,0.013
2,1,1.0,64,0.001,-0.016,0.999,-0.0,0.009
2,1,10.0,64,0.001,1.653,1.088,0.001,0.006
3,1,0.1,64,0.001,1.595,1.142,0.001,0.011
3,1,1.0,64,0.001,0.308,1.028,0.0,0.011
4,1,0.001,64,0.001,0.861,1.046,0.0,0.006
3,1,0.001,64,0.001,1.145,1.142,0.001,0.015
3,1,10.0,64,0.001,1.065,1.133,0.001,0.015
4,1,0.1,64,0.001,1.685,1.107,0.001,0.008
4,1,1.0,64,0.001,0.308,1.028,0.0,0.011
4,1,10.0,64,0.001,-0.016,0.999,-0.0,0.009
5,1,0.001,64,0.001,1.608,1.155,0.001,0.012
5,1,0.1,64,0.001,1.498,1.114,0.001,0.009
5,1,10.0,64,0.001,-0.016,0.999,-0.0,0.009
5,1,1.0,64,0.001,-0.016,0.999,-0.0,0.009
6,1,0.1,64,0.001,1.145,1.142,0.001,0.015
6,1,1.0,64,0.001,-0.016,0.999,-0.0,0.009
6,1,0.001,64,0.001,1.145,1.142,0.001,0.015
6,1,10.0,64,0.001,-0.016,0.999,-0.0,0.009
7,1,0.001,64,0.001,1.145,1.142,0.001,0.015
7,1,0.1,64,0.001,1.076,1.118,0.001,0.013
7,1,1.0,64,0.001,1.549,1.159,0.001,0.013
7,1,10.0,64,0.001,1.549,1.159,0.001,0.013
8,1,0.1,64,0.001,1.201,1.122,0.001,0.012
8,1,1.0,64,0.001,1.145,1.142,0.001,0.015
8,1,0.001,64,0.001,1.857,1.102,0.001,0.007
8,1,10.0,64,0.001,1.145,1.142,0.001,0.015
9,1,0.001,64,0.001,1.698,1.091,0.001,0.007
9,1,0.1,64,0.001,1.325,1.089,0.001,0.008
9,1,1.0,64,0.001,1.065,1.133,0.001,0.015
9,1,10.0,64,0.001,1.145,1.142,0.001,0.015
