seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,1.0,64,0.007,1.145,1.142,0.001,0.015
1,1,1.0,64,0.006,1.145,1.142,0.001,0.015
0,1,1.0,64,0.006,1.715,1.093,0.001,0.007
1,1,1.0,64,0.005,5.287,1.5,0.004,0.012
1,1,1.0,64,0.004,3.165,1.304,0.002,0.012
0,1,1.0,64,0.004,2.278,1.176,0.001,0.009
2,1,1.0,64,0.004,1.701,1.091,0.001,0.007
0,1,1.0,64,0.005,5.888,1.54,0.004,0.011
2,1,1.0,64,0.005,1.706,1.091,0.001,0.007
0,1,1.0,64,0.007,1.832,1.108,0.001,0.007
2,1,1.0,64,0.006,1.711,1.091,0.001,0.007
2,1,1.0,64,0.007,1.715,1.092,0.001,0.007
3,1,1.0,64,0.005,1.694,1.142,0.001,0.01
3,1,1.0,64,0.006,4.922,1.418,0.003,0.01
3,1,1.0,64,0.004,2.098,1.188,0.001,0.011
3,1,1.0,64,0.007,6.059,1.596,0.005,0.012
