window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,1.0,32,1e-06,1.5,1.70425,1.091,0.001,0.006500000000000001
1,1.0,32,1e-05,1.5,1.7085,1.0915,0.001,0.00675
1,1.0,32,0.0001,1.5,1.72125,1.0925,0.001,0.007
1,1.0,32,0.001,1.5,3.38425,1.3165,0.0025,0.01075
1,1.0,32,0.01,1.5,1.1705,1.06875,0.0005,0.00725
1,1.0,64,1e-06,1.5,1.70975,1.09175,0.001,0.007
1,1.0,64,1e-05,1.5,1.7192500000000002,1.09275,0.001,0.007
1,1.0,64,0.0001,1.5,1.70725,1.092,0.001,0.007
1,1.0,64,0.001,1.5,2.57325,1.2395,0.00175,0.01025
1,1.0,64,0.01,1.5,2.8672500000000003,1.26425,0.002,0.0115
1,1.0,128,1e-06,1.5,1.73075,1.09275,0.001,0.00675
1,1.0,128,1e-05,1.5,1.7205,1.0925,0.001,0.007
1,1.0,128,0.0001,1.5,1.56625,1.1015000000000001,0.001,0.00875
1,1.0,128,0.001,1.5,3.056,1.275,0.002,0.01125
1,1.0,128,0.01,1.5,2.09,1.1585,0.00125,0.00875
