seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,1,15.0,64,0.005,1.766,1.118,0.001,0.008
0,1,5.0,64,0.005,2.443,1.202,0.002,0.01
0,1,0.1,64,0.005,1.145,1.142,0.001,0.015
0,1,40.0,64,0.005,1.578,1.092,0.001,0.007
0,1,10.0,64,0.005,1.014,1.063,0.0,0.008
1,1,0.1,64,0.005,5.289,1.534,0.004,0.012
0,1,0.5,64,0.005,1.736,1.095,0.001,0.007
1,1,0.5,64,0.005,1.651,1.09,0.001,0.007
0,1,20.0,64,0.005,2.58,1.213,0.002,0.01
0,1,1.0,64,0.005,5.888,1.54,0.004,0.011
1,1,1.0,64,0.005,5.287,1.5,0.004,0.012
1,1,15.0,64,0.005,1.338,1.076,0.001,0.007
1,1,5.0,64,0.005,4.286,1.42,0.003,0.012
1,1,20.0,64,0.005,1.696,1.094,0.001,0.007
1,1,10.0,64,0.005,1.697,1.117,0.001,0.008
1,1,40.0,64,0.005,1.697,1.094,0.001,0.007
2,1,0.1,64,0.005,4.394,1.441,0.003,0.012
2,1,0.5,64,0.005,2.057,1.159,0.001,0.009
2,1,1.0,64,0.005,1.706,1.091,0.001,0.007
2,1,5.0,64,0.005,1.702,1.09,0.001,0.006
2,1,10.0,64,0.005,1.7,1.09,0.001,0.006
2,1,15.0,64,0.005,1.729,1.114,0.001,0.008
2,1,20.0,64,0.005,1.7,1.09,0.001,0.006
2,1,40.0,64,0.005,1.699,1.09,0.001,0.006
3,1,0.1,64,0.005,1.316,1.092,0.001,0.009
3,1,0.5,64,0.005,6.715,1.613,0.005,0.011
3,1,1.0,64,0.005,1.694,1.142,0.001,0.01
3,1,5.0,64,0.005,2.414,1.189,0.001,0.01
3,1,10.0,64,0.005,1.784,1.097,0.001,0.007
3,1,15.0,64,0.005,1.784,1.097,0.001,0.007
3,1,20.0,64,0.005,1.784,1.097,0.001,0.007
3,1,40.0,64,0.005,1.784,1.097,0.001,0.007
