seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,1,0.001,32,0.001,1.522,1.082,0.001,0.007
0,1,0.001,32,0.0005,1.495,1.08,0.001,0.007
0,1,0.001,32,0.005,1.448,1.078,0.001,0.007
0,1,0.001,32,0.0001,1.484,1.08,0.001,0.007
0,1,0.001,32,0.01,1.301,1.068,0.001,0.006
0,1,0.001,32,1e-05,1.624,1.087,0.001,0.007
0,1,0.001,64,0.01,1.69,1.091,0.001,0.007
0,1,0.001,64,0.0005,1.668,1.088,0.001,0.006
0,1,0.001,64,0.005,1.64,1.089,0.001,0.007
0,1,0.001,64,0.001,1.647,1.087,0.001,0.006
0,1,0.001,64,0.0001,1.589,1.082,0.001,0.006
0,1,0.001,64,1e-05,1.67,1.089,0.001,0.007
0,1,0.01,32,0.01,1.434,1.077,0.001,0.007
0,1,0.01,32,0.005,1.465,1.079,0.001,0.007
0,1,0.001,128,0.0001,1.689,1.095,0.001,0.007
0,1,0.001,128,0.001,0.158,1.011,0.0,0.009
0,1,0.001,128,0.0005,1.55,1.1,0.001,0.008
0,1,0.001,128,0.01,1.64,1.093,0.001,0.007
0,1,0.001,128,0.005,1.763,1.113,0.001,0.008
0,1,0.001,128,1e-05,1.725,1.099,0.001,0.007
0,1,0.01,32,0.001,1.532,1.083,0.001,0.007
0,1,0.01,32,0.0001,1.494,1.082,0.001,0.007
0,1,0.01,32,0.0005,1.521,1.082,0.001,0.007
0,1,0.01,32,1e-05,1.623,1.087,0.001,0.007
0,1,0.01,64,0.01,1.614,1.085,0.001,0.006
0,1,0.01,64,0.005,1.54,1.083,0.001,0.007
0,1,0.01,64,1e-05,1.67,1.09,0.001,0.007
0,1,0.01,64,0.0005,1.668,1.089,0.001,0.007
0,1,0.01,64,0.001,1.649,1.087,0.001,0.006
0,1,0.01,64,0.0001,1.653,1.086,0.001,0.006
0,1,0.01,128,0.01,1.753,1.105,0.001,0.007
0,1,0.01,128,0.005,1.7,1.09,0.001,0.006
0,1,0.01,128,0.001,1.254,1.14,0.001,0.014
0,1,0.1,32,0.01,1.416,1.075,0.001,0.006
0,1,0.01,128,0.0005,1.553,1.109,0.001,0.009
0,1,0.1,32,0.005,1.477,1.079,0.001,0.007
0,1,0.1,32,0.0005,1.519,1.083,0.001,0.007
0,1,0.1,32,0.001,1.531,1.083,0.001,0.007
0,1,0.01,128,0.0001,1.711,1.097,0.001,0.007
0,1,0.01,128,1e-05,1.728,1.099,0.001,0.007
0,1,0.1,32,0.0001,1.475,1.08,0.001,0.007
0,1,0.1,32,1e-05,1.611,1.087,0.001,0.007
0,1,0.1,64,0.01,1.609,1.092,0.001,0.007
0,1,0.1,64,0.005,1.631,1.089,0.001,0.007
0,1,0.1,64,0.001,1.655,1.087,0.001,0.006
0,1,0.1,64,1e-05,1.676,1.09,0.001,0.007
0,1,0.1,64,0.0005,1.659,1.088,0.001,0.006
0,1,0.1,64,0.0001,1.583,1.082,0.001,0.006
0,1,0.1,128,0.01,1.791,1.132,0.001,0.009
0,1,0.1,128,0.005,1.501,1.11,0.001,0.009
0,1,0.1,128,0.001,1.671,1.095,0.001,0.007
0,1,0.5,32,0.01,1.315,1.072,0.001,0.007
0,1,0.5,32,0.005,1.45,1.077,0.001,0.007
0,1,0.5,32,0.001,1.534,1.083,0.001,0.007
0,1,0.5,32,0.0005,1.512,1.082,0.001,0.007
0,1,0.5,32,0.0001,1.504,1.082,0.001,0.007
0,1,0.1,128,0.0005,1.701,1.097,0.001,0.007
0,1,0.1,128,0.0001,1.714,1.098,0.001,0.007
0,1,0.1,128,1e-05,1.728,1.099,0.001,0.007
0,1,0.5,32,1e-05,1.554,1.084,0.001,0.007
0,1,0.5,64,0.01,1.379,1.075,0.001,0.007
0,1,0.5,64,0.005,1.462,1.08,0.001,0.007
0,1,0.5,64,0.001,1.68,1.089,0.001,0.006
0,1,0.5,64,1e-05,1.69,1.09,0.001,0.007
0,1,0.5,64,0.0005,1.692,1.09,0.001,0.006
0,1,0.5,64,0.0001,1.658,1.09,0.001,0.007
0,1,0.5,128,0.01,1.036,1.12,0.001,0.014
0,1,0.5,128,0.005,1.478,1.09,0.001,0.007
0,1,0.5,128,0.001,1.679,1.097,0.001,0.007
0,1,0.5,128,0.0005,1.684,1.096,0.001,0.007
0,1,1.0,32,0.005,1.527,1.081,0.001,0.006
0,1,0.5,128,0.0001,1.722,1.098,0.001,0.007
0,1,1.0,32,0.01,1.336,1.074,0.001,0.007
0,1,1.0,32,0.001,1.527,1.082,0.001,0.007
0,1,1.0,32,0.0005,1.522,1.083,0.001,0.007
0,1,0.5,128,1e-05,1.725,1.098,0.001,0.007
0,1,1.0,32,0.0001,1.485,1.08,0.001,0.007
0,1,1.0,32,1e-05,1.506,1.081,0.001,0.007
0,1,1.0,64,0.01,1.081,1.058,0.0,0.007
0,1,1.0,64,0.005,1.391,1.074,0.001,0.006
0,1,1.0,64,0.001,1.658,1.088,0.001,0.006
0,1,1.0,64,0.0005,1.705,1.092,0.001,0.007
0,1,1.0,64,1e-05,1.696,1.091,0.001,0.007
0,1,1.0,64,0.0001,1.417,1.073,0.001,0.006
0,1,1.0,128,0.01,1.084,1.091,0.001,0.01
0,1,1.0,128,0.005,1.786,1.118,0.001,0.008
0,1,1.0,128,0.001,1.664,1.096,0.001,0.007
0,1,1.0,128,0.0005,1.691,1.097,0.001,0.007
0,1,1.0,128,0.0001,1.717,1.098,0.001,0.007
0,1,1.0,128,1e-05,1.723,1.098,0.001,0.007
0,1,2.0,32,0.01,0.624,1.044,0.0,0.009
0,1,2.0,32,0.005,0.893,1.053,0.0,0.007
0,1,2.0,32,0.001,1.478,1.08,0.001,0.007
0,1,2.0,32,0.0005,1.511,1.082,0.001,0.007
0,1,2.0,32,0.0001,1.499,1.082,0.001,0.007
0,1,2.0,32,1e-05,1.475,1.08,0.001,0.007
0,1,2.0,64,0.01,1.317,1.077,0.001,0.007
0,1,2.0,64,0.005,1.479,1.083,0.001,0.007
0,1,2.0,64,0.001,1.642,1.086,0.001,0.006
0,1,2.0,64,0.0005,1.689,1.09,0.001,0.007
0,1,2.0,64,0.0001,1.683,1.09,0.001,0.007
0,1,2.0,64,1e-05,1.691,1.091,0.001,0.007
0,1,2.0,128,0.01,1.397,1.125,0.001,0.011
0,1,2.0,128,0.005,1.661,1.095,0.001,0.007
0,1,2.0,128,0.001,1.681,1.095,0.001,0.007
0,1,2.0,128,0.0005,1.673,1.096,0.001,0.007
0,1,5.0,32,0.01,0.339,1.031,0.0,0.011
0,1,2.0,128,0.0001,1.717,1.098,0.001,0.007
0,1,2.0,128,1e-05,1.726,1.098,0.001,0.007
0,1,5.0,32,0.005,1.278,1.074,0.001,0.007
0,1,5.0,32,0.001,1.515,1.083,0.001,0.007
0,1,5.0,32,0.0005,1.494,1.085,0.001,0.007
0,1,5.0,32,0.0001,1.471,1.079,0.001,0.007
0,1,5.0,32,1e-05,1.473,1.08,0.001,0.007
0,1,5.0,64,0.01,0.5,1.041,0.0,0.01
0,1,5.0,64,0.005,1.875,1.141,0.001,0.009
0,1,5.0,64,0.001,1.474,1.077,0.001,0.006
0,1,5.0,64,1e-05,1.685,1.091,0.001,0.007
0,1,5.0,64,0.0005,1.653,1.088,0.001,0.006
0,1,5.0,64,0.0001,1.699,1.092,0.001,0.007
0,1,5.0,128,0.01,1.245,1.155,0.001,0.015
0,1,5.0,128,0.005,1.038,1.109,0.001,0.013
0,1,5.0,128,0.001,1.602,1.099,0.001,0.008
0,1,5.0,128,0.0005,1.6,1.093,0.001,0.007
0,1,10.0,32,0.01,0.37,1.033,0.0,0.011
0,1,10.0,32,0.001,1.558,1.088,0.001,0.007
0,1,5.0,128,0.0001,1.717,1.098,0.001,0.007
0,1,10.0,32,0.005,0.837,1.049,0.0,0.007
0,1,5.0,128,1e-05,1.729,1.098,0.001,0.007
0,1,10.0,32,0.0005,1.502,1.083,0.001,0.007
0,1,10.0,32,0.0001,1.489,1.08,0.001,0.007
0,1,10.0,32,1e-05,1.476,1.08,0.001,0.007
0,1,10.0,64,0.01,1.251,1.152,0.001,0.015
0,1,10.0,64,0.005,0.529,1.033,0.0,0.008
0,1,10.0,64,0.001,1.645,1.094,0.001,0.007
0,1,10.0,64,0.0001,1.673,1.089,0.001,0.007
0,1,10.0,64,1e-05,1.682,1.091,0.001,0.007
0,1,10.0,64,0.0005,1.684,1.089,0.001,0.006
0,1,10.0,128,0.01,1.363,1.138,0.001,0.012
0,1,10.0,128,0.005,1.128,1.063,0.0,0.007
0,1,10.0,128,0.001,1.659,1.111,0.001,0.008
0,1,10.0,128,0.0005,1.87,1.11,0.001,0.007
0,1,20.0,32,0.01,0.337,1.031,0.0,0.011
0,1,10.0,128,0.0001,1.723,1.098,0.001,0.007
0,1,20.0,32,0.001,1.419,1.086,0.001,0.007
0,1,10.0,128,1e-05,1.733,1.098,0.001,0.007
0,1,20.0,32,0.005,1.3,1.142,0.001,0.013
0,1,20.0,32,0.0005,1.47,1.082,0.001,0.007
0,1,20.0,32,1e-05,1.479,1.08,0.001,0.007
0,1,20.0,32,0.0001,1.462,1.079,0.001,0.007
0,1,20.0,64,0.01,0.337,1.031,0.0,0.011
0,1,20.0,64,0.005,0.158,1.011,0.0,0.009
0,1,20.0,64,0.001,1.522,1.08,0.001,0.006
0,1,20.0,64,0.0005,1.662,1.096,0.001,0.007
0,1,20.0,64,0.0001,1.67,1.089,0.001,0.006
0,1,20.0,64,1e-05,1.679,1.091,0.001,0.007
0,1,20.0,128,0.01,1.031,1.127,0.001,0.015
0,1,20.0,128,0.005,0.158,1.011,0.0,0.009
0,1,20.0,128,0.001,1.535,1.132,0.001,0.01
0,1,20.0,128,0.0005,1.573,1.086,0.001,0.007
0,1,20.0,128,0.0001,1.653,1.096,0.001,0.007
0,1,20.0,128,1e-05,1.732,1.098,0.001,0.007
0,1,40.0,32,0.01,0.158,1.011,0.0,0.009
0,1,40.0,32,0.005,0.235,1.016,0.0,0.008
0,1,40.0,32,0.001,1.037,1.067,0.001,0.008
0,1,40.0,32,0.0005,1.504,1.084,0.001,0.007
0,1,40.0,32,0.0001,1.452,1.078,0.001,0.007
0,1,40.0,32,1e-05,1.484,1.08,0.001,0.007
0,1,40.0,64,0.01,0.158,1.011,0.0,0.009
0,1,40.0,64,0.005,1.217,1.13,0.001,0.013
0,1,40.0,64,0.001,0.313,1.02,0.0,0.008
0,1,40.0,64,0.0005,1.3,1.088,0.001,0.008
0,1,40.0,64,0.0001,1.545,1.081,0.001,0.006
0,1,40.0,64,1e-05,1.681,1.091,0.001,0.007
0,1,40.0,128,0.01,1.031,1.127,0.001,0.015
0,1,40.0,128,0.005,0.182,1.012,0.0,0.008
0,1,40.0,128,0.001,1.033,1.127,0.001,0.015
0,1,40.0,128,0.0005,1.59,1.126,0.001,0.01
0,1,40.0,128,0.0001,1.771,1.1,0.001,0.007
0,1,40.0,128,1e-05,1.736,1.099,0.001,0.007
1,1,0.001,32,0.01,1.58,1.084,0.001,0.007
1,1,0.001,32,0.005,1.536,1.081,0.001,0.006
1,1,0.001,32,0.001,1.527,1.08,0.001,0.006
1,1,0.001,32,0.0005,1.545,1.082,0.001,0.006
1,1,0.001,32,0.0001,1.552,1.082,0.001,0.006
1,1,0.001,32,1e-05,1.647,1.087,0.001,0.006
1,1,0.001,64,0.01,1.706,1.104,0.001,0.007
1,1,0.001,64,0.005,1.735,1.096,0.001,0.007
1,1,0.001,64,0.001,1.741,1.098,0.001,0.007
1,1,0.001,64,0.0005,1.738,1.097,0.001,0.007
1,1,0.001,64,0.0001,1.73,1.096,0.001,0.007
1,1,0.001,64,1e-05,1.728,1.095,0.001,0.007
1,1,0.001,128,0.01,1.146,1.12,0.001,0.013
1,1,0.001,128,0.005,1.683,1.107,0.001,0.008
1,1,0.001,128,0.001,1.686,1.089,0.001,0.006
1,1,0.001,128,0.0005,1.684,1.089,0.001,0.006
1,1,0.01,32,0.01,1.579,1.085,0.001,0.007
1,1,0.001,128,0.0001,1.702,1.09,0.001,0.006
1,1,0.01,32,0.005,1.579,1.084,0.001,0.006
1,1,0.001,128,1e-05,1.684,1.089,0.001,0.006
1,1,0.01,32,0.001,1.536,1.081,0.001,0.006
1,1,0.01,32,0.0005,1.545,1.082,0.001,0.006
1,1,0.01,32,0.0001,1.562,1.083,0.001,0.006
1,1,0.01,32,1e-05,1.646,1.087,0.001,0.006
1,1,0.01,64,0.01,1.6,1.089,0.001,0.007
1,1,0.01,64,0.005,1.705,1.095,0.001,0.007
1,1,0.01,64,0.001,1.744,1.097,0.001,0.007
1,1,0.01,64,1e-05,1.728,1.095,0.001,0.007
1,1,0.01,64,0.0001,1.73,1.096,0.001,0.007
1,1,0.01,64,0.0005,1.742,1.098,0.001,0.007
1,1,0.01,128,0.01,1.762,1.129,0.001,0.009
1,1,0.01,128,0.005,1.702,1.096,0.001,0.007
1,1,0.01,128,0.001,1.705,1.091,0.001,0.007
1,1,0.01,128,0.0005,1.679,1.089,0.001,0.006
1,1,0.01,128,0.0001,1.709,1.091,0.001,0.006
