seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,1.0,64,0.001,1.747,1.096,0.001,0.007
0,1,0.001,64,0.001,1.178,1.089,0.001,0.009
0,1,10.0,64,0.001,1.715,1.092,0.001,0.007
1,1,0.1,64,0.001,0.308,1.028,0.0,0.011
1,1,10.0,64,0.001,1.732,1.093,0.001,0.007
0,1,0.1,64,0.001,1.277,1.094,0.001,0.009
1,1,0.001,64,0.001,0.308,1.028,0.0,0.011
2,1,0.1,64,0.001,3.114,1.302,0.002,0.012
2,1,0.001,64,0.001,2.42,1.144,0.001,0.007
0,1,1.0,64,0.001,1.712,1.091,0.001,0.007
2,1,1.0,64,0.001,7.663,1.653,0.005,0.01
2,1,10.0,64,0.001,1.906,1.11,0.001,0.007
3,1,0.001,64,0.001,8.761,1.802,0.006,0.011
3,1,0.1,64,0.001,7.103,1.651,0.005,0.011
3,1,1.0,64,0.001,2.154,1.201,0.002,0.011
3,1,10.0,64,0.001,1.69,1.09,0.001,0.007
4,1,0.001,64,0.001,3.155,1.317,0.002,0.012
4,1,0.1,64,0.001,4.772,1.426,0.003,0.011
4,1,1.0,64,0.001,4.098,1.333,0.003,0.01
4,1,10.0,64,0.001,1.752,1.094,0.001,0.007
5,1,0.001,64,0.001,-0.016,0.999,-0.0,0.009
5,1,0.1,64,0.001,2.837,1.17,0.001,0.007
5,1,1.0,64,0.001,1.713,1.095,0.001,0.007
5,1,10.0,64,0.001,1.735,1.095,0.001,0.007
6,1,1.0,64,0.001,1.712,1.093,0.001,0.007
6,1,0.001,64,0.001,5.086,1.521,0.004,0.013
6,1,0.1,64,0.001,3.019,1.177,0.001,0.007
6,1,10.0,64,0.001,1.715,1.092,0.001,0.007
7,1,0.001,64,0.001,8.957,1.967,0.007,0.013
7,1,0.1,64,0.001,2.402,1.146,0.001,0.007
7,1,1.0,64,0.001,3.458,1.306,0.002,0.011
7,1,10.0,64,0.001,1.692,1.09,0.001,0.006
8,1,0.001,64,0.001,8.377,1.735,0.006,0.011
8,1,1.0,64,0.001,1.668,1.091,0.001,0.007
8,1,0.1,64,0.001,5.109,1.46,0.004,0.011
8,1,10.0,64,0.001,1.739,1.094,0.001,0.007
9,1,0.001,64,0.001,6.973,1.632,0.005,0.011
9,1,0.1,64,0.001,8.33,1.75,0.006,0.011
9,1,1.0,64,0.001,6.571,1.576,0.004,0.011
9,1,10.0,64,0.001,1.728,1.092,0.001,0.007
