seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
2,1,0.001,64,0.001,1.484,1.09,0.001,0.007
0,1,0.001,64,0.001,2.041,1.185,0.001,0.011
0,1,0.1,64,0.001,0.611,1.038,0.0,0.008
1,1,10.0,64,0.001,1.603,1.084,0.001,0.006
1,1,0.001,64,0.001,3.562,1.319,0.002,0.011
2,1,0.1,64,0.001,0.776,1.051,0.0,0.008
0,1,10.0,64,0.001,4.631,1.401,0.003,0.011
1,1,0.1,64,0.001,1.145,1.142,0.001,0.015
1,1,1.0,64,0.001,1.145,1.142,0.001,0.015
0,1,1.0,64,0.001,1.792,1.146,0.001,0.01
3,1,0.1,64,0.001,3.418,1.343,0.003,0.012
3,1,0.001,64,0.001,2.05,1.169,0.001,0.01
2,1,1.0,64,0.001,0.268,1.018,0.0,0.008
3,1,1.0,64,0.001,2.858,1.305,0.002,0.013
3,1,10.0,64,0.001,0.39,1.035,0.0,0.011
2,1,10.0,64,0.001,-0.008,0.999,-0.0,0.009
4,1,0.001,64,0.001,2.05,1.171,0.001,0.01
4,1,0.1,64,0.001,1.512,1.091,0.001,0.007
4,1,10.0,64,0.001,1.523,1.078,0.001,0.006
4,1,1.0,64,0.001,-0.013,0.999,-0.0,0.008
5,1,0.1,64,0.001,2.041,1.13,0.001,0.008
5,1,0.001,64,0.001,2.174,1.149,0.001,0.008
5,1,1.0,64,0.001,0.188,1.013,0.0,0.008
6,1,0.1,64,0.001,1.884,1.182,0.001,0.012
5,1,10.0,64,0.001,0.371,1.025,0.0,0.008
6,1,0.001,64,0.001,3.166,1.327,0.003,0.013
6,1,1.0,64,0.001,0.051,1.003,0.0,0.008
6,1,10.0,64,0.001,0.157,1.011,0.0,0.009
7,1,0.001,64,0.001,2.258,1.188,0.001,0.01
7,1,0.1,64,0.001,3.964,1.406,0.003,0.012
7,1,1.0,64,0.001,2.091,1.179,0.001,0.01
7,1,10.0,64,0.001,2.758,1.254,0.002,0.011
8,1,0.001,64,0.001,1.481,1.09,0.001,0.007
8,1,0.1,64,0.001,4.568,1.403,0.003,0.011
8,1,1.0,64,0.001,0.018,1.001,0.0,0.008
8,1,10.0,64,0.001,1.024,1.126,0.001,0.015
9,1,0.001,64,0.001,2.838,1.214,0.002,0.009
9,1,0.1,64,0.001,1.145,1.142,0.001,0.015
9,1,1.0,64,0.001,0.202,1.014,0.0,0.008
9,1,10.0,64,0.001,1.735,1.099,0.001,0.007
