seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,150,0.001,64,0.001,0.728,1.045,0.0,0.008
0,150,0.1,64,0.001,1.142,1.127,0.001,0.014
0,100,0.001,64,0.001,2.249,1.129,0.001,0.007
0,100,1.0,64,0.001,1.145,1.142,0.001,0.015
0,100,0.1,64,0.001,2.31,1.132,0.001,0.007
0,100,10.0,64,0.001,-0.0,1.0,-0.0,0.009
0,80,10.0,64,0.001,1.143,1.142,0.001,0.015
0,80,1.0,64,0.001,1.528,1.095,0.001,0.008
0,80,0.001,64,0.001,2.48,1.159,0.001,0.008
0,80,0.1,64,0.001,2.074,1.127,0.001,0.007
0,150,1.0,64,0.001,1.145,1.142,0.001,0.015
0,150,10.0,64,0.001,0.091,1.006,0.0,0.009
1,80,0.001,64,0.001,2.339,1.164,0.001,0.009
1,150,0.001,64,0.001,1.902,1.114,0.001,0.007
1,80,1.0,64,0.001,2.62,1.147,0.001,0.007
1,80,10.0,64,0.001,1.166,1.145,0.001,0.015
1,80,0.1,64,0.001,2.993,1.187,0.001,0.008
1,100,0.001,64,0.001,1.165,1.143,0.001,0.015
1,100,0.1,64,0.001,1.145,1.142,0.001,0.015
1,150,0.1,64,0.001,2.12,1.165,0.001,0.01
1,100,1.0,64,0.001,1.133,1.139,0.001,0.015
1,100,10.0,64,0.001,0.313,1.029,0.0,0.011
1,150,1.0,64,0.001,1.144,1.142,0.001,0.015
1,150,10.0,64,0.001,1.428,1.144,0.001,0.012
2,100,0.001,64,0.001,2.366,1.137,0.001,0.007
2,100,0.1,64,0.001,1.539,1.084,0.001,0.007
2,100,1.0,64,0.001,1.143,1.142,0.001,0.015
2,100,10.0,64,0.001,1.219,1.152,0.001,0.015
2,80,0.001,64,0.001,1.168,1.143,0.001,0.015
2,80,1.0,64,0.001,2.4,1.145,0.001,0.007
2,80,0.1,64,0.001,1.155,1.142,0.001,0.015
2,80,10.0,64,0.001,1.144,1.142,0.001,0.015
2,150,0.001,64,0.001,1.537,1.089,0.001,0.007
2,150,0.1,64,0.001,1.689,1.15,0.001,0.011
2,150,1.0,64,0.001,1.145,1.142,0.001,0.015
2,150,10.0,64,0.001,1.176,1.146,0.001,0.015
3,100,0.001,64,0.001,1.189,1.123,0.001,0.013
3,100,0.1,64,0.001,1.145,1.142,0.001,0.015
3,80,0.001,64,0.001,2.265,1.195,0.002,0.011
3,80,0.1,64,0.001,2.077,1.179,0.001,0.011
3,80,1.0,64,0.001,1.593,1.186,0.001,0.014
3,80,10.0,64,0.001,1.11,1.138,0.001,0.015
3,100,1.0,64,0.001,1.143,1.142,0.001,0.015
3,100,10.0,64,0.001,1.14,1.141,0.001,0.015
3,150,0.001,64,0.001,2.06,1.127,0.001,0.008
3,150,0.1,64,0.001,1.267,1.108,0.001,0.01
3,150,1.0,64,0.001,1.145,1.142,0.001,0.015
3,150,10.0,64,0.001,1.136,1.141,0.001,0.015
