seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,1,0.001,64,0.001,6.884,1.628,0.005,0.011
1,1,10.0,64,0.001,1.701,1.091,0.001,0.007
1,1,1.0,64,0.001,1.7,1.091,0.001,0.007
0,1,0.1,64,0.001,7.239,1.654,0.005,0.011
0,1,1.0,64,0.001,2.172,1.215,0.002,0.012
1,1,0.001,64,0.001,6.012,1.588,0.005,0.012
0,1,10.0,64,0.001,1.684,1.09,0.001,0.007
1,1,0.1,64,0.001,7.65,1.685,0.005,0.011
2,1,0.001,64,0.001,6.737,1.618,0.005,0.011
2,1,0.1,64,0.001,6.783,1.622,0.005,0.011
2,1,10.0,64,0.001,1.716,1.091,0.001,0.006
2,1,1.0,64,0.001,2.343,1.234,0.002,0.012
3,1,0.001,64,0.001,5.533,1.545,0.004,0.012
3,1,0.1,64,0.001,5.479,1.543,0.004,0.012
3,1,1.0,64,0.001,3.454,1.319,0.002,0.011
3,1,10.0,64,0.001,1.712,1.092,0.001,0.007
4,1,0.1,64,0.001,6.727,1.624,0.005,0.011
4,1,0.001,64,0.001,7.275,1.658,0.005,0.011
4,1,1.0,64,0.001,4.307,1.42,0.003,0.012
4,1,10.0,64,0.001,1.703,1.091,0.001,0.006
5,1,0.001,64,0.001,1.563,1.099,0.001,0.008
5,1,0.1,64,0.001,1.816,1.14,0.001,0.009
5,1,10.0,64,0.001,1.653,1.125,0.001,0.009
5,1,1.0,64,0.001,2.265,1.219,0.002,0.012
6,1,0.001,64,0.001,9.006,1.977,0.008,0.013
6,1,10.0,64,0.001,1.693,1.09,0.001,0.006
6,1,0.1,64,0.001,5.77,1.584,0.004,0.012
7,1,0.001,64,0.001,6.775,1.621,0.005,0.011
6,1,1.0,64,0.001,1.916,1.118,0.001,0.008
7,1,0.1,64,0.001,5.678,1.538,0.004,0.012
7,1,1.0,64,0.001,3.393,1.329,0.003,0.012
7,1,10.0,64,0.001,1.721,1.092,0.001,0.007
8,1,0.001,64,0.001,7.405,1.686,0.005,0.011
8,1,10.0,64,0.001,1.712,1.091,0.001,0.006
8,1,0.1,64,0.001,5.114,1.502,0.004,0.012
8,1,1.0,64,0.001,3.886,1.376,0.003,0.012
9,1,0.001,64,0.001,7.282,1.657,0.005,0.011
9,1,0.1,64,0.001,7.268,1.656,0.005,0.011
9,1,1.0,64,0.001,1.775,1.163,0.001,0.011
9,1,10.0,64,0.001,1.717,1.091,0.001,0.007
