seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,10.0,64,0.001,1.702,1.091,0.001,0.007
0,1,10.0,64,0.001,1.684,1.09,0.001,0.007
0,1,0.1,64,0.001,5.421,1.517,0.004,0.012
1,1,1.0,64,0.001,1.7,1.091,0.001,0.007
1,1,0.001,64,0.001,7.577,1.68,0.005,0.011
1,1,0.1,64,0.001,7.401,1.655,0.005,0.011
0,1,1.0,64,0.001,1.871,1.151,0.001,0.01
0,1,0.001,64,0.001,6.623,1.605,0.005,0.011
2,1,0.1,64,0.001,6.413,1.591,0.005,0.011
2,1,10.0,64,0.001,1.716,1.091,0.001,0.006
2,1,0.001,64,0.001,5.302,1.51,0.004,0.012
3,1,0.001,64,0.001,4.805,1.484,0.004,0.012
3,1,0.1,64,0.001,5.01,1.485,0.004,0.012
3,1,1.0,64,0.001,6.167,1.558,0.004,0.011
2,1,1.0,64,0.001,1.783,1.183,0.001,0.013
3,1,10.0,64,0.001,1.713,1.092,0.001,0.007
4,1,0.1,64,0.001,6.991,1.638,0.005,0.011
4,1,0.001,64,0.001,5.67,1.539,0.004,0.012
4,1,1.0,64,0.001,2.216,1.191,0.001,0.011
4,1,10.0,64,0.001,1.703,1.09,0.001,0.006
5,1,0.001,64,0.001,7.314,1.663,0.005,0.011
5,1,0.1,64,0.001,3.495,1.319,0.002,0.011
5,1,10.0,64,0.001,1.74,1.094,0.001,0.007
5,1,1.0,64,0.001,2.67,1.207,0.002,0.009
6,1,0.001,64,0.001,5.335,1.511,0.004,0.012
6,1,0.1,64,0.001,6.029,1.57,0.004,0.012
6,1,10.0,64,0.001,1.693,1.09,0.001,0.006
6,1,1.0,64,0.001,1.958,1.2,0.002,0.012
7,1,0.001,64,0.001,4.813,1.461,0.004,0.012
7,1,0.1,64,0.001,6.665,1.61,0.005,0.011
7,1,10.0,64,0.001,1.72,1.092,0.001,0.007
7,1,1.0,64,0.001,1.126,1.129,0.001,0.014
8,1,0.001,64,0.001,2.086,1.261,0.002,0.015
8,1,0.1,64,0.001,4.14,1.418,0.003,0.012
8,1,1.0,64,0.001,3.697,1.371,0.003,0.012
8,1,10.0,64,0.001,1.712,1.091,0.001,0.006
9,1,0.001,64,0.001,6.92,1.628,0.005,0.011
9,1,0.1,64,0.001,5.09,1.495,0.004,0.012
9,1,1.0,64,0.001,1.83,1.159,0.001,0.011
9,1,10.0,64,0.001,1.717,1.091,0.001,0.007
