seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
0,1,0.001,32,0.001,1.258,1.097,0.001,0.009
0,1,0.001,32,0.01,1.145,1.142,0.001,0.015
0,1,0.001,32,0.005,1.345,1.109,0.001,0.01
0,1,0.001,32,0.0001,4.41,1.436,0.003,0.012
0,1,0.001,32,1e-05,1.69,1.092,0.001,0.007
0,1,0.001,64,0.0001,5.549,1.52,0.004,0.011
0,1,0.001,64,0.001,6.176,1.574,0.004,0.011
0,1,0.001,64,0.005,1.145,1.142,0.001,0.015
0,1,0.001,64,0.01,1.145,1.142,0.001,0.015
0,1,0.001,64,1e-05,1.716,1.095,0.001,0.007
0,1,0.01,32,0.005,2.083,1.163,0.001,0.01
0,1,0.01,32,0.001,1.615,1.126,0.001,0.009
0,1,0.01,32,0.01,0.308,1.028,0.0,0.011
0,1,0.001,128,0.005,1.145,1.142,0.001,0.015
0,1,0.001,128,0.01,1.145,1.142,0.001,0.015
0,1,0.01,32,0.0001,4.682,1.456,0.004,0.012
0,1,0.001,128,0.001,2.895,1.222,0.002,0.009
0,1,0.01,32,1e-05,1.691,1.092,0.001,0.007
0,1,0.001,128,0.0001,4.743,1.461,0.004,0.012
0,1,0.001,128,1e-05,1.643,1.099,0.001,0.007
0,1,0.01,64,0.005,1.145,1.142,0.001,0.015
0,1,0.01,64,0.01,1.145,1.142,0.001,0.015
0,1,0.01,64,0.001,5.049,1.493,0.004,0.012
0,1,0.01,64,0.0001,3.71,1.377,0.003,0.012
0,1,0.01,64,1e-05,1.716,1.095,0.001,0.007
0,1,0.01,128,0.005,1.145,1.142,0.001,0.015
0,1,0.01,128,0.01,1.145,1.142,0.001,0.015
0,1,0.01,128,0.001,1.746,1.137,0.001,0.01
0,1,0.01,128,0.0001,4.498,1.443,0.003,0.012
0,1,0.01,128,1e-05,1.655,1.099,0.001,0.007
0,1,0.1,32,0.01,5.527,1.532,0.004,0.012
0,1,0.1,32,0.005,1.869,1.146,0.001,0.01
